SampleID,CoNS Staphylococcus spp.,OtherTaxa_NotStaph,Staphylococcus aureus,Staphylococcus caprae or S. capitis,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus hominis,Staphylococcus lugdunensis,Staphylococcus pasteuri,Staphylococcus pettenkoferi,Staphylococcus warneri
LK16S009-001,0,0.271235024,0,0,0.695241294,0,0.033523682,0,0,0,0
LK16S009-002,0,0.980381039,0.000538671,0.00102064,0.005755273,0,0.010305625,0.001998753,0,0,0
LK16S009-003,0.009126919,0.166550964,0.008248938,0.006819667,0.747121039,0,0.062132473,0,0,0,0
LK16S009-004,0,0.821152464,0.103618317,0,0.059086151,0,0.00185393,0.014289137,0,0,0
LK16S009-005,0.003193199,0.836821445,0.071918156,0.003152521,0.052189477,0,0.030976061,0,0,0.001749141,0
LK16S009-006,0.002507232,0.797010608,0.06099325,0,0.094310511,0,0.045178399,0,0,0,0
LK16S009-007,0.012644011,0.911673067,0.008839939,0,0.046337222,0,0.02050576,0,0,0,0
LK16S009-008,0,0.917652831,0.037406916,0,0.031836287,0,0.013103966,0,0,0,0
LK16S009-009,0.006971307,0.375756288,0.012114772,0,0.551229189,0,0.053928445,0,0,0,0
LK16S009-010,0,0.982964953,0.000268653,0.00146538,0.003174991,0,0.010709488,0.001416534,0,0,0
LK16S009-011,0.042438955,0.596715693,0.019391689,0,0.325460517,0,0.004483793,0,0.011509353,0,0
LK16S009-012,0,0.990807008,0.001413138,0,0.007779854,0,0,0,0,0,0
LK16S009-013,0,0.689327301,0.245791323,0,0,0,0.064881376,0,0,0,0
LK16S009-014,0.023041322,0.922578512,0,0,0.035933884,0,0.018446281,0,0,0,0
LK16S009-015,0,0.948970238,0,0.051029762,0,0,0,0,0,0,0
LK16S009-016,0.015053655,0.742479455,0,0,0.143348999,0,0.083787791,0,0.0153301,0,0
LK16S009-017,0.001874444,0.727556417,0,0.009047594,0.072391225,0.003905964,0.175119116,0.010105241,0,0,0
LK16S009-018,0.007991225,0.511438421,0,0.03056893,0.033218427,0.06256232,0.300874619,0.053346059,0,0,0
LK16S009-019,0,0.949605285,0,0.018841375,0.003410527,0.002647332,0.02549548,0,0,0,0
LK16S009-020,0.003880341,0.826264495,0,0.01464152,0.060867211,0.002910256,0.020462031,0.067499887,0,0.003474259,0
LK16S009-021,0.009488999,0.938006164,0.005332187,0.003182111,0.021744428,0.003741131,0.011667742,0.004515158,0.002322081,0,0
LK16S009-022,0,0.900315126,0,0,0.022006303,0,0.018434874,0.059243697,0,0,0
LK16S009-023,0,0.942743358,0.000854371,0.000440966,0.009122478,0.004395877,0.018741043,0.023701907,0,0,0
LK16S009-024,0,0.940289477,0,0,0,0,0,0.059710523,0,0,0
LK16S009-025,0.002785835,0.711780924,0,0.006634309,0.057727103,0.005169591,0.215902237,0,0,0,0
LK16S009-026,0.01341567,0.410404624,0,0.0293206,0.033413516,0.060388468,0.436374298,0.016682823,0,0,0
LK16S009-027,0,0.973413478,0,0,0,0,0.026586522,0,0,0,0
LK16S009-028,0.012666593,0.834188787,0,0,0.147989867,0,0,0.005154753,0,0,0
LK16S009-029,0.005650202,0.232234342,0,0,0.725125628,0,0,0.036989827,0,0,0
LK16S009-030,0,1,0,0,0,0,0,0,0,0,0
LK16S009-031,0,0.945489408,0,0,0.054510592,0,0,0,0,0,0
LK16S009-032,0,1,0,0,0,0,0,0,0,0,0
LK16S009-033,0.001502113,0.781493457,0,0,0.055399969,0,0.161604461,0,0,0,0
LK16S009-034,0,1,0,0,0,0,0,0,0,0,0
LK16S009-035,0.001918631,0.15784673,0,0.031578782,0.316699954,0,0.00577162,0.486184283,0,0,0
LK16S009-036,0.002477799,0.932683439,0,0,0.054728618,0,0.010110145,0,0,0,0
LK16S009-037,0.00683946,0.469920971,0,0.002179035,0.430927706,0,0.030673312,0.059459516,0,0,0
LK16S009-038,0.005597876,0.907125269,0,0,0.080293937,0,0.003520314,0.003462604,0,0,0
LK16S009-039,0,0.192658562,0,0,0.66352467,0,0.012698,0.131118767,0,0,0
LK16S009-040,0,0.954615962,0,0,0.041180886,0,0.004203152,0,0,0,0
LK16S009-041,0,0.824399748,0,0,0.027643115,0,0.147957137,0,0,0,0
LK16S009-042,0,1,0,0,0,0,0,0,0,0,0
LK16S009-043,0.004549321,0.110859087,0,0.033559296,0.401976957,0,0.005103487,0.443951852,0,0,0
LK16S009-044,0,0.934403993,0,0,0.048205259,0,0.015458443,0.001932305,0,0,0
LK16S009-045,0,0.718488852,0,0.001340229,0.21535114,0,0.017391441,0.047428337,0,0,0
LK16S009-046,0,0.979008977,0,0,0,0,0.020991023,0,0,0,0
LK16S009-047,0,0.957456298,0,0,0.038289331,0,0.00425437,0,0,0,0
LK16S009-048,0.011948855,0.988051145,0,0,0,0,0,0,0,0,0
LK16S009-049,0.007817255,0.355333571,0,0,0.527155778,0,0.012832889,0.096860507,0,0,0
LK16S009-050,0.013570347,0.612740425,0,0,0.323333146,0,0,0.047047608,0.003308473,0,0
LK16S009-051,0.006888064,0.345591989,0,0,0.612729981,0,0.001622366,0.0331676,0,0,0
LK16S009-052,0.002626905,0.843152286,0.004636814,0.008656633,0.102617556,0,0.036888847,0.001420959,0,0,0
LK16S009-053,0.008783696,0.137142486,0,0,0.570453464,0,0.003418286,0.280202068,0,0,0
LK16S009-054,0.016914409,0.594483791,0,0,0.178620089,0,0.209981711,0,0,0,0
LK16S009-055,0.012434914,0.063185184,0,0,0.815244854,0,0,0.109135048,0,0,0
LK16S009-056,0.001131154,0.803476811,0,0.002163085,0.179357425,0,0,0.013871525,0,0,0
LK16S009-057,0,0.950951978,0,0,0.006041825,0,0,0.043006198,0,0,0
LK16S009-058,0,0.964965501,0,0,0.031792767,0,0.003241732,0,0,0,0
LK16S009-059,0.006953822,0.310410541,0,0,0.658732663,0,0,0.023902975,0,0,0
LK16S009-060,0.003978501,0.851561753,0.001644957,0.004609705,0.096229988,0,0.041975096,0,0,0,0
LK16S009-061,0.00993747,0.140429922,0,0,0.516137861,0,0,0.333494747,0,0,0
LK16S009-062,0.025345284,0.269247723,0,0,0.368557155,0,0.336849838,0,0,0,0
LK16S009-063,0.007934744,0.088237909,0,0,0.653049431,0,0.003156117,0.247621799,0,0,0
LK16S009-064,0,0.945661569,0,0,0.054338431,0,0,0,0,0,0
LK16S009-065,0.011645717,0.108102634,0,0,0.753844985,0,0,0.126406663,0,0,0
LK16S009-066,0,0.97911276,0,0,0.019047916,0,0.001839324,0,0,0,0
LK16S009-067,0.013373938,0.061098452,0,0,0.844197883,0,0,0.081329727,0,0,0
LK16S009-068,0.006725069,0.269179719,0,0.001990974,0.713830634,0,0.00707902,0,0.001194585,0,0
LK16S009-069,0.010639006,0.256334802,0,0,0.710110385,0.000932078,0,0.021983729,0,0,0
