SampleID,Eubacterium_nodatum_group,0319-6G20,Abiotrophia,Acinetobacter,Actinomyces,Aerococcus,Aeromonas,Afipia,Agathobacter,Alkanindiges,Alloprevotella,Amaricoccus,Anaerococcus,Anoxybacillus,Atopobium,Aureimonas,Auricoccus-Abyssicoccus,Azospirillum,Bacillus,Bacteroides,Bifidobacterium,Blastococcus,Blautia,Bosea,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia-Caballeronia-Paraburkholderia,Campylobacter,Capnocytophaga,Caulobacter,Clostridium_sensu_stricto_1,Collinsella,Comamonas,Corynebacterium,Cutibacterium,Deinococcus,Delftia,Denitratisoma,Dermabacter,Dermacoccus,Dietzia,Dolosigranulum,Dorea,DSSD61,Enterobacter,Enterococcus,Eremococcus,Escherichia-Shigella,Ezakiella,Facklamia,Faecalibacterium,Fastidiosipila,Fenollaria,Finegoldia,Fusicatenibacter,Fusobacterium,Gardnerella,Gemella,Gordonia,Granulicatella,Haematobacter,Haemophilus,Helcococcus,Intestinibacter,Janthinobacterium,Jeotgalicoccus,JG30-KF-CM45,KD4-96,Klebsiella,Klenkia,Kocuria,Kytococcus,Lachnoanaerobaculum,Lactobacillus,Lactococcus,Lautropia,Lawsonella,Leptotrichia,Leuconostoc,Luteimonas,Macrococcus,Marmoricola,Massilia,Meiothermus,Methylobacterium-Methylorubrum,Methylocella,Methylophilus,Microbacterium,Micrococcus,Millisia,Mobilicoccus,Moraxella,Murdochiella,Muricoccus,Mycobacterium,Mycoplasma,Negativicoccus,Neisseria,Nesterenkonia,Oribacterium,Ornithinimicrobium,Ottowia,Pantoea,Paracoccus,Pedobacter,Pelomonas,Peptoniphilus,Peptostreptococcus,Phreatobacter,Porphyromonas,Prevotella,Pseudoclavibacter,Pseudoglutamicibacter,Pseudomonas,Pseudorhodoplanes,Pseudoxanthomonas,Puia,Raoultella,Rhodococcus,Romboutsia,Roseomonas,Rothia,Ruminococcus,S5-A14a,Saccharimonadales,Selenomonas,Serratia,Skermanella,Sphingobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Terrisporobacter,Turicibacter,uncultured,Varibaculum,Veillonella,Weissella,WPS-2,Xanthomonas,Yimella
LK16S009-001,0,0,0,0.06624494,0,0,0,0.012850855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019597001,0.059167017,0,0,0,0,0,0,0,0,0,0,0,0,0.058857358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026807635,0,0,0,0.007033686,0,0,0,0.003981332,0,0,0,0,0.000464489,0,0,0.726371901,0.006215302,0,0,0,0,0,0,0.001459822,0,0,0,0,0,0
LK16S009-002,0,0,0,0.000183279,0,0,0,0.000197378,0,0,0,0,0.00610461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936120118,0.018130551,0,0,0,0.017030876,0,0,0,0,0,0,5.63936E-05,0,0.000479346,0,0,0,0,0,0.000761314,0,0,0,5.63936E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63936E-05,0,0.000155082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019512195,0,0,0.000296067,0,0,0,0,0.000239673,0,0,0,0,0,0
LK16S009-003,0,0,0,0.020134228,0,0.00090845,0.049964774,0.006544551,0,0,0,0.007341763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389336,0,0,0,0,0,0,0,0,0.024917498,0.043791019,0,0,0,0,0,0,0,0,0,0.001761281,0,0,0.004264155,0,0,0,0,0,0.001427565,0,0,0,0.000463495,0,0,0.001668582,0,0,0,0,0,0,0,0.002076458,0,0.000815751,0,0,0,0,0,0.002428714,0,0,0,0,0,0,0,0,0,0,0,0.012848085,0,0,0,0,0,0,0.001446105,0,0,0,0,0,0,0,0.002039379,0,0,0.002762431,0,0,0,0,0,0,0.022433164,0,0,0,0.002020839,0,0,0,0.014034632,0,0,0,0,0,0,0,0.756794839,0,0,0.015925692,0,0,0,0,0.000797212,0,0,0,0,0,0
LK16S009-004,0,0,0,0.001427921,0.000295432,0,0,0.000504696,0,0,0,0.002031094,0.000393909,0,0,0.003175893,0,0,0.000147716,0,0,0,0,0,0,0,0,0.000160026,0,0,0,0,0,0,0,0,0.23006758,0.017061191,0,0,0,0.011571082,0,0,0,0,0,0,0.045828871,0,0.393909179,0,0,0,0,0,0.049287886,0,0,0,0,0,0.000320051,0.001181728,0.024213105,0,0,0,0,0,0,0.013614486,0,0.000529315,0,0,0,0,0,0.000480077,0,0,0,0,0,0,0,0,0,0,0,0.009441511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000504696,0,0,0.000652412,0,0,0,0,0,0,0.017541268,0,0,0,0,0,0,0.000135406,0.000110787,0,0,0,0,0.000184645,0,0,0.174563315,0,0,0.000664722,0,0,0,0,0,0,0,0,0,0,0
LK16S009-005,0,0,0,0.017950725,0,0,0.111907031,0.011331927,0,0,0,0.015534608,0.001259103,0,0,0.001463282,0,0,0.001037909,0,0,0,0,0,0,0,0.000714626,0,0,0,0,0,0,0,0,0,0.03486354,0.203600354,0,0,0,0,0,0,0,0,0,0.003658205,0,0,0.01890356,0,0.001037909,0,0,0,0.002535221,0,0,0,0.000153134,0,0.000595522,0.003300892,0.002620295,0,0,0,0,0,0,0.021421765,0,0.010447152,0,0,0,0,0,0.004389846,0,0,0,0,0,0,0,0,0,0,0.000918805,0.084700197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014751923,0,0,0,0.001122984,0.001378207,0,0,0,0,0.25173552,0,0,0,0.002756415,0,0,0,0.002075818,0,0,0,0,0.000697611,0,0,0.138722521,0,0,0.028363847,0,0,0,0,0.003879398,0,0.000170149,0,0,0,0
LK16S009-006,0,0,0,0.230572617,0,0,0.078930302,0.100331896,0,0,0,0,0,0,0,0,0,0,0.016480372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065845191,0.041544272,0,0,0,0,0,0,0,0,0,0,0.015297753,0,0.089688323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043451722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026856903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666158,0,0,0,0.007210163,0,0,0,0.026704307,0,0,0,0,0.01464922,0,0,0.190096517,0,0,0.015831839,0,0,0,0,0.009842445,0,0,0,0,0,0
LK16S009-007,0,0,0,0.193786935,0,0,0.098726417,0.096640647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075751351,0.128369624,0,0,0,0,0,0,0,0,0,0,0,0,0.0874443,0,0,0,0,0,0.002749423,0,0,0,0,0,0,0.00097968,0,0,0,0,0,0,0,0.014315962,0,0.003950321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081345005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099895712,0,0,0,0.024681604,0,0,0,0,0,0,0,0,0.004424359,0,0,0.077047056,0,0,0,0,0,0,0,0.009891603,0,0,0,0,0,0
LK16S009-008,0,0,0,0.1513813,0,0,0.076545984,0.141985395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045243323,0.232829495,0,0.025072767,0,0,0,0,0,0,0,0,0,0,0.006229893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019940765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111474238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043124138,0,0,0,0,0,0,0,0.020476944,0,0,0,0,0,0,0,0.072843793,0.015727927,0,0.033217587,0,0,0,0,0,0,0.003906449,0,0,0,0
LK16S009-009,0,0,0,0.128051091,0,0.007172433,0,0.008744473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025966735,0.060439329,0,0,0,0,0,0,0,0,0,0,0,0,0.095024212,0,0,0,0,0,0.001389571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004379255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036914871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627777388,0.002863359,0,0,0,0,0,0,0.001277283,0,0,0,0,0,0
LK16S009-010,0,0,0,0.000824412,0,0,0,0.000218227,0,0,0,0,0.002315629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955542354,0.008729071,0,0,0,0.01297237,0,0,0,0,0,0,0,0,0.000569814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69897E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018731132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
