WellPosition,MiniGroup,SampleName,Subject,BodySite,Live.v.HeatKilled,Concentration,Group,PMAXX,PmaxxGroup,CT,CtMean,CtSD,Quantity,QuantityMean,QuantitySD,pSampleName,PmaxxGroup,pCT,pCtMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBact,TotalMtanBac,ViableBact,ViableMeanBac,PercentLive,MeanPercent
D8,1B,1B,1,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,24.77879333,24.784044,0.015235497,0.58665706,0.584177729,0.007158967,1Bp,BackLive25PMAxx,25.48073082,25.467292,0.056719497,0.333039654,0.336669333,0.013213789,0.683248,1759.97118,1752.533187,999.118962,1010.007999,0.567690524,0.576313194
D9,1B,1B,1,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,24.77213097,24.784044,0.015235497,0.589818141,0.584177729,0.007158967,1Bp,BackLive25PMAxx,25.40505867,25.467292,0.056719497,0.354000491,0.336669333,0.013213789,0.683248,1769.454423,1752.533187,1062.001473,1010.007999,0.600185831,0.576313194
D10,1B,1B,1,Back,Live,25,BackLive25,Untreated,BackLive25Untreated,24.80121231,24.784044,0.015235497,0.57614387,0.584177729,0.007158967,1Bp,BackLive25PMAxx,25.51608353,25.467292,0.056719497,0.323677053,0.336669333,0.013213789,0.683248,1728.43161,1752.533187,971.031159,1010.007999,0.561799005,0.576313194
G8,1BK,1BK,1,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,25.05560303,25.128244,0.062914476,0.469264826,0.442559743,0.022796886,1BKp,BackHeatkilled25PMAxx,27.24873734,27.178183,0.065265246,0.08001366,0.084699196,0.013806121,2.049939,1407.794478,1327.679229,240.04098,254.097588,0.170508539,0.191384773
G9,1BK,1BK,1,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,25.16384888,25.128244,0.062914476,0.430030773,0.442559743,0.022796886,1BKp,BackHeatkilled25PMAxx,27.11996841,27.178183,0.065265246,0.088771146,0.084699196,0.013806121,2.049939,1290.092319,1327.679229,266.313438,254.097588,0.206429752,0.191384773
G10,1BK,1BK,1,Back,Heatkilled,25,BackHeatkilled25,Untreated,BackHeatkilled25Untreated,25.16528511,25.128244,0.062914476,0.429532889,0.442559743,0.022796886,1BKp,BackHeatkilled25PMAxx,27.16584396,27.178183,0.065265246,0.085546382,0.084699196,0.013806121,2.049939,1288.598667,1327.679229,256.639146,254.097588,0.199161424,0.191384773
C8,1F,1F,1,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,25.61622429,25.65515,0.046709202,0.298560708,0.28933235,0.010825218,1Fp,ForearmLive25PMAxx,25.76023865,25.761253,0.01417125,0.265818066,0.26560067,0.003034166,0.106103,895.682124,867.99705,797.454198,796.80201,0.890331711,0.917977786
C9,1F,1F,1,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,25.64227676,25.65515,0.046709202,0.292352278,0.28933235,0.010825218,1Fp,ForearmLive25PMAxx,25.74761772,25.761253,0.01417125,0.268537905,0.26560067,0.003034166,0.106103,877.056834,867.99705,805.613715,796.80201,0.918542201,0.917977786
C10,1F,1F,1,Forearm,Live,25,ForearmLive25,Untreated,ForearmLive25Untreated,25.70694351,25.65515,0.046709202,0.277494099,0.28933235,0.010825218,1Fp,ForearmLive25PMAxx,25.77590561,25.761253,0.01417125,0.262480089,0.26560067,0.003034166,0.106103,832.482297,867.99705,787.440267,796.80201,0.945894309,0.917977786
F8,1FK,1FK,1,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,25.63534355,25.705248,0.060570426,0.293991777,0.277873857,0.013771804,1FKp,ForearmHeatkilled25PMAxx,28.27581787,28.261133,0.026594803,0.03494446,0.035360829,0.005733623,2.555885,881.975331,833.621571,104.83338,106.082487,0.118862032,0.127254969
F9,1FK,1FK,1,Forearm,Heatkilled,25,ForearmHeatkilled25,Untreated,ForearmHeatkilled25Untreated,25.74212074,25.705248,0.060570426,0.269731201,0.277873857,0.013771804,1FKp,ForearmHeatkilled25PMAxx,28.2771492,28.261133,0.026594803,0.034906955,0.035360829,0.005733623,2.555885,809.193603,833.621571,104.720865,106.082487,0.129413857,0.127254969
