feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brevundimonas	MoistDry	Moist	-1.97665233615625	0.524481495268208	57	6	0.00043010639321539	0.00805444832264717
Micrococcus	MoistDry	Moist	-6.69724878805238	1.81114541363926	57	33	0.000536963221509812	0.00805444832264717
Brachybacterium	MoistDry	Moist	-2.05831503767288	0.611825352669194	57	8	0.00140413820205853	0.0140413820205853
Veillonella	MoistDry	Moist	-1.69383389623129	0.566997561769494	57	6	0.00421472838685745	0.0316104629014309
Acinetobacter	MoistDry	Moist	-2.97018077837594	1.08624515821946	57	53	0.00839332679199475	0.0503599607519685
Staphylococcus	MoistDry	Moist	1.86729666313795	0.813584628475114	57	54	0.0264285880269961	0.132142940134981
Bacillus	MoistDry	Moist	-3.27564185042852	1.5606201597979	57	29	0.0407881771588469	0.147296874065593
Dermabacter	MoistDry	Moist	1.49447343129634	0.759031129738997	57	13	0.0540088538240509	0.147296874065593
Dietzia	MoistDry	Moist	-0.794274411446028	0.34882190133419	57	8	0.0368881637746946	0.147296874065593
Methylobacterium.Methylorubrum	MoistDry	Moist	-1.67620460088994	0.819532727416873	57	12	0.046453034480396	0.147296874065593
Paracoccus	MoistDry	Moist	-1.7301367407424	0.817297401987306	57	10	0.0525317501192889	0.147296874065593
Brevibacterium	MoistDry	Moist	-0.673218713157077	0.367478432115684	57	8	0.0723689365672711	0.157005736027601
Kocuria	MoistDry	Moist	-1.76561193367088	0.966890210835352	57	20	0.0732693434795471	0.157005736027601
Lawsonella	MoistDry	Moist	0.813478351679596	0.429800277929493	57	8	0.0636663896595976	0.157005736027601
Rothia	MoistDry	Moist	-1.16152515108874	0.685411495637968	57	7	0.0961870859025329	0.192374171805066
Streptococcus	MoistDry	Moist	-1.84591194121136	1.12156861882511	57	25	0.105502108101447	0.197816452690213
Kytococcus	MoistDry	Moist	-0.924815791629124	0.579589982237838	57	7	0.125597236236904	0.21266996262652
uncultured	MoistDry	Moist	-1.89345187396027	1.13413808371754	57	15	0.127601977575912	0.21266996262652
Amaricoccus	MoistDry	Moist	-1.15563918709971	0.818858350325891	57	9	0.169861777616185	0.268202806762397
Roseomonas	MoistDry	Moist	-0.536531537739269	0.490188696582022	57	7	0.298920018167205	0.448380027250807
Escherichia.Shigella	MoistDry	Moist	-1.14007660056489	1.2034744631312	57	43	0.347619004403425	0.496598577719178
Finegoldia	MoistDry	Moist	1.1697219869412	1.32624231136199	57	23	0.381624927153314	0.520397627936337
Afipia	MoistDry	Moist	-0.854694156769498	1.28223933971263	57	17	0.508418335395072	0.663154350515311
Cutibacterium	MoistDry	Moist	-0.673034369823756	1.11650239479065	57	50	0.549115362577821	0.686394203222276
Streptomyces	MoistDry	Moist	0.429909757799272	1.0051449832412	57	13	0.670547525014715	0.804657030017658
Actinomyces	MoistDry	Moist	-0.29275936034433	0.758089989815644	57	7	0.701607336289586	0.809546926487984
Anaerococcus	MoistDry	Moist	0.244247972390446	1.57247130651139	57	30	0.877289535050821	0.956482094082947
Corynebacterium	MoistDry	Moist	0.0676223171455003	0.891932700074221	57	51	0.939860014825666	0.956482094082947
Peptoniphilus	MoistDry	Moist	-0.0757931823385762	0.881368765865226	57	11	0.931782801890202	0.956482094082947
Pseudomonas	MoistDry	Moist	0.0744704212707167	1.3573477553855	57	24	0.956482094082947	0.956482094082947
