feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brevundimonas	MoistDry	Moist	-1.97665233615625	0.524481495268208	57	6	0.00043010639321539	0.00805444832264717
Micrococcus	MoistDry	Moist	-6.69724878805238	1.81114541363926	57	33	0.000536963221509812	0.00805444832264717
Brachybacterium	MoistDry	Moist	-2.05831503767288	0.611825352669194	57	8	0.00140413820205853	0.0140413820205853
Veillonella	MoistDry	Moist	-1.69383389623129	0.566997561769494	57	6	0.00421472838685745	0.0316104629014309
Acinetobacter	MoistDry	Moist	-2.97018077837594	1.08624515821946	57	53	0.00839332679199475	0.0503599607519685
Staphylococcus	MoistDry	Moist	1.86729666313795	0.813584628475114	57	54	0.0264285880269961	0.132142940134981
Bacillus	MoistDry	Moist	-3.27564185042852	1.5606201597979	57	29	0.0407881771588469	0.147296874065593
Dermabacter	MoistDry	Moist	1.49447343129634	0.759031129738997	57	13	0.0540088538240509	0.147296874065593
Dietzia	MoistDry	Moist	-0.794274411446028	0.34882190133419	57	8	0.0368881637746946	0.147296874065593
Methylobacterium.Methylorubrum	MoistDry	Moist	-1.67620460088994	0.819532727416873	57	12	0.046453034480396	0.147296874065593
Paracoccus	MoistDry	Moist	-1.7301367407424	0.817297401987306	57	10	0.0525317501192889	0.147296874065593
Brevibacterium	MoistDry	Moist	-0.673218713157077	0.367478432115684	57	8	0.0723689365672711	0.157005736027601
Kocuria	MoistDry	Moist	-1.76561193367088	0.966890210835352	57	20	0.0732693434795471	0.157005736027601
Lawsonella	MoistDry	Moist	0.813478351679596	0.429800277929493	57	8	0.0636663896595976	0.157005736027601
Rothia	MoistDry	Moist	-1.16152515108874	0.685411495637968	57	7	0.0961870859025329	0.192374171805066
Streptococcus	MoistDry	Moist	-1.84591194121136	1.12156861882511	57	25	0.105502108101447	0.197816452690213
Kytococcus	MoistDry	Moist	-0.924815791629124	0.579589982237838	57	7	0.125597236236904	0.21266996262652
uncultured	MoistDry	Moist	-1.89345187396027	1.13413808371754	57	15	0.127601977575912	0.21266996262652
