feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brevundimonas	Timepoint	Pre	3.518963388389	0.750781013181987	134	66	8.59811047650939e-06	0.000687848838120752
Acinetobacter	Timepoint	OR	2.03053963146678	0.570508824789179	134	125	0.000567252654733151	0.022690106189326
Brevundimonas	Timepoint	Post	2.41483877251262	0.74254819372724	134	66	0.00155458175930419	0.0310916351860838
Paracoccus	Timepoint	Pre	2.39881228634047	0.73113993511331	134	79	0.00141652568175802	0.0310916351860838
Acinetobacter	Timepoint	Post	1.70964561611415	0.570508824789179	134	125	0.00342950967497525	0.0457267956663367
Brevundimonas	Timepoint	OR	2.2272208657547	0.742548193727239	134	66	0.00340104222432639	0.0457267956663367
Bacillus	Timepoint	OR	1.65564134062939	0.605662801443466	134	75	0.00738773257051854	0.0498779280282187
Kocuria	Timepoint	Pre	2.15151170778689	0.765992313458363	134	74	0.0059596729466015	0.0498779280282187
Paracoccus	Timepoint	OR	1.99381562393089	0.722910631669436	134	79	0.00689356146821665	0.0498779280282187
Paracoccus	Timepoint	Post	1.97292098490826	0.722910631669436	134	79	0.00748168920423281	0.0498779280282187
Raoultella	Timepoint	OR	1.56371928458497	0.558483545713555	134	55	0.00612110594756973	0.0498779280282187
Raoultella	Timepoint	Post	1.54813767792416	0.558483545713555	134	55	0.00662986803692633	0.0498779280282187
Bacillus	Timepoint	Post	1.62108127592033	0.605662801443466	134	75	0.00867005791081966	0.053354202528121
Brachybacterium	Timepoint	Pre	1.36605017050598	0.582618147285069	134	57	0.0209693208086127	0.119824690334929
Acinetobacter	Timepoint	Pre	1.29468057992566	0.576972403618524	134	125	0.0270014686040433	0.143483697880505
Escherichia.Shigella	Timepoint	CV1	-2.61609484721192	1.18349965366363	134	65	0.0292294941435472	0.143483697880505
Micrococcus	Timepoint	OR	1.86214975635237	0.848551623323587	134	117	0.0304902857996074	0.143483697880505
Anaerococcus	Timepoint	Pre	1.71927729087553	0.812344120183928	134	104	0.0367453039586134	0.155861878379708
Dietzia	Timepoint	OR	1.3537310085462	0.640593061742673	134	66	0.0370171961151806	0.155861878379708
uncultured	Timepoint	OR	-1.50774033362888	0.723385057002456	134	56	0.0396365288639219	0.158546115455688
Bacillus	Timepoint	Pre	1.16930091088913	0.612707046786677	134	75	0.0591493049103129	0.215088381492047
Brevundimonas	Timepoint	CV1	1.60482278216899	0.833642493856643	134	66	0.0569705263068776	0.215088381492047
Brachybacterium	Timepoint	OR	1.07979423997493	0.576076199224761	134	57	0.0637260270575125	0.221655746287
Micrococcus	Timepoint	Post	1.54440266117799	0.848551623323587	134	117	0.071713401553691	0.239044671845637
Afipia	Timepoint	CV1	-0.700324645691372	0.395624533782189	134	43	0.0796762618978614	0.254964038073156
Micrococcus	Timepoint	Pre	1.4942047277366	0.85767273569638	134	117	0.0845118919733259	0.260036590687157
Cutibacterium	Timepoint	Post	0.886002433608849	0.533104444641138	134	128	0.0995927126808115	0.265580567148831
Kocuria	Timepoint	Post	1.29037487600196	0.757920645570235	134	74	0.0917132512113831	0.265580567148831
Staphylococcus	Timepoint	OR	-0.653167930290398	0.390433128287854	134	131	0.0974169282747182	0.265580567148831
Streptococcus	Timepoint	Pre	1.52312748457592	0.906946570137211	134	98	0.096107964954848	0.265580567148831
Bacillus	Timepoint	CV1	1.10773381380583	0.681976045172836	134	75	0.107388615611293	0.277131911254949
Dietzia	Timepoint	Post	0.987357556955318	0.640593061742673	134	66	0.126333319723677	0.315833299309193
Anaerococcus	Timepoint	CV1	1.28948733722369	0.902359566249604	134	104	0.156026230471795	0.368680649364651
Dietzia	Timepoint	Pre	0.912419071532852	0.647846476569114	134	66	0.162048517906341	0.368680649364651
Dietzia	Timepoint	CV1	0.996524968353914	0.720111778257779	134	66	0.169391912313662	0.368680649364651
Raoultella	Timepoint	Pre	0.779206335455949	0.564512719962088	134	55	0.170514800331151	0.368680649364651
Staphylococcus	Timepoint	Pre	-0.548886509918761	0.394692780436141	134	131	0.167354269333514	0.368680649364651
Staphylococcus	Timepoint	CV1	0.591929211293669	0.437886654007811	134	131	0.179388217754972	0.377659405799942
Kocuria	Timepoint	CV1	1.08348831902772	0.848742745887458	134	74	0.204587950736135	0.41966759125361
Staphylococcus	Timepoint	Post	-0.474155338002966	0.390433128287854	134	131	0.227396732854412	0.454793465708824
Cutibacterium	Timepoint	CV1	0.708557713751211	0.597797865036879	134	128	0.238610443245287	0.457298254798666
Finegoldia	Timepoint	OR	-0.903958315542293	0.774421161618528	134	81	0.245797811954283	0.457298254798666
Peptoniphilus	Timepoint	Pre	-0.930429879979364	0.788611403941205	134	66	0.240783900815835	0.457298254798666
Peptoniphilus	Timepoint	OR	-0.821592915709672	0.780871755693563	134	66	0.295207644471473	0.536741171766314
