feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brevundimonas	Timepoint	Pre	3.21706012069676	0.951228134309934	43	29	0.00201709709154018	0.113717418868578
Brevundimonas	Timepoint	Post	3.18564996255951	0.951228134309934	43	29	0.00219952762904013	0.113717418868578
Staphylococcus	Timepoint	OR	-1.39341946499911	0.452788785059487	43	42	0.00442595437224935	0.113717418868578
Staphylococcus	Timepoint	Post	-1.39277124501254	0.452788785059487	43	42	0.00444208667455384	0.113717418868578
Streptomyces	Timepoint	OR	3.3723920014528	1.05091873601603	43	22	0.00315318438524162	0.113717418868578
Bosea	Timepoint	Pre	1.38907497087205	0.475261536410939	43	16	0.00653657667075953	0.135417879035158
Veillonella	Timepoint	Pre	3.62085921037532	1.26096578081366	43	27	0.00740566525973522	0.135417879035158
Bosea	Timepoint	Post	1.33237695032318	0.475261536410939	43	16	0.00877522011926888	0.140403521908302
Bosea	Timepoint	OR	1.27728622828974	0.475261536410939	43	16	0.0116238130105425	0.148784806534945
Luteimonas	Timepoint	Post	2.88060240639487	1.05580411696671	43	20	0.0105234197044712	0.148784806534945
Rothia	Timepoint	OR	-3.33047716502513	1.3230578661513	43	25	0.0174568464177465	0.20313421286105
Acinetobacter	Timepoint	OR	1.50780878381043	0.617858087352083	43	42	0.0207923787603456	0.221785373443687
Raoultella	Timepoint	OR	2.22147225643664	0.931851996183289	43	19	0.0237854455490126	0.234195156174893
Luteimonas	Timepoint	Pre	2.37305061107581	1.05580411696671	43	20	0.0320822912283607	0.273768885148678
Streptomyces	Timepoint	Post	2.37479551054461	1.05091873601603	43	22	0.0312212212677517	0.273768885148678
Brevundimonas	Timepoint	OR	2.05804663440037	0.951228134309934	43	29	0.0385910280418442	0.283922529524271
Brevundimonas	Timepoint	CV1	2.21975793644914	1.03053690681116	43	29	0.0393327465516448	0.283922529524271
Neisseria	Timepoint	Pre	2.37299350766705	1.13082339035838	43	16	0.0443628952381674	0.283922529524271
Prevotella	Timepoint	Pre	1.97776991396013	0.940895896293934	43	17	0.044051378208152	0.283922529524271
Staphylococcus	Timepoint	Pre	-0.969959226437544	0.452788785059487	43	42	0.0403963597625231	0.283922529524271
Afipia	Timepoint	OR	1.20522884012814	0.617065378134301	43	13	0.060216874534683	0.329542045226475
Kytococcus	Timepoint	CV1	-0.246871372588257	0.127243393261638	43	10	0.061789133479964	0.329542045226475
