feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brevundimonas	Timepoint	Pre	3.21706012069676	0.951228134309934	43	29	0.00201709709154018	0.113717418868578
Brevundimonas	Timepoint	Post	3.18564996255951	0.951228134309934	43	29	0.00219952762904013	0.113717418868578
Staphylococcus	Timepoint	OR	-1.39341946499911	0.452788785059487	43	42	0.00442595437224935	0.113717418868578
Staphylococcus	Timepoint	Post	-1.39277124501254	0.452788785059487	43	42	0.00444208667455384	0.113717418868578
Streptomyces	Timepoint	OR	3.3723920014528	1.05091873601603	43	22	0.00315318438524162	0.113717418868578
Bosea	Timepoint	Pre	1.38907497087205	0.475261536410939	43	16	0.00653657667075953	0.135417879035158
Veillonella	Timepoint	Pre	3.62085921037532	1.26096578081366	43	27	0.00740566525973522	0.135417879035158
Bosea	Timepoint	Post	1.33237695032318	0.475261536410939	43	16	0.00877522011926888	0.140403521908302
Bosea	Timepoint	OR	1.27728622828974	0.475261536410939	43	16	0.0116238130105425	0.148784806534945
Luteimonas	Timepoint	Post	2.88060240639487	1.05580411696671	43	20	0.0105234197044712	0.148784806534945
Rothia	Timepoint	OR	-3.33047716502513	1.3230578661513	43	25	0.0174568464177465	0.20313421286105
Acinetobacter	Timepoint	OR	1.50780878381043	0.617858087352083	43	42	0.0207923787603456	0.221785373443687
Raoultella	Timepoint	OR	2.22147225643664	0.931851996183289	43	19	0.0237854455490126	0.234195156174893
