feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Paracoccus	Timepoint	Pre	3.11560653532378	0.837111134545153	91	51	0.000403359821226509	0.0274284678434026
Paracoccus	Timepoint	OR	2.71616925453863	0.823395965988033	91	51	0.00154961533588865	0.0526869214202142
Anaerococcus	Timepoint	Pre	2.76045720701203	0.88495692968591	91	72	0.00265998825572199	0.0548059746030573
Brachybacterium	Timepoint	Pre	2.04244759626899	0.669079171800372	91	29	0.00322388085900337	0.0548059746030573
Brachybacterium	Timepoint	OR	1.85597555062827	0.658146974878808	91	29	0.00627399663519906	0.0711052951989226
Paracoccus	Timepoint	Post	2.32377144171202	0.823395965988032	91	51	0.00625358765815512	0.0711052951989226
Acinetobacter	Timepoint	OR	1.90716774465055	0.747910913653935	91	83	0.0130387585607617	0.0856246647788576
Anaerococcus	Timepoint	Post	2.19796961978244	0.870392288050269	91	72	0.013907371505888	0.0856246647788576
Bacillus	Timepoint	OR	1.78143829902027	0.698838355659419	91	46	0.0130634425766172	0.0856246647788576
Kocuria	Timepoint	Pre	2.24702309332054	0.901455159770151	91	42	0.0151102349609749	0.0856246647788576
Micrococcus	Timepoint	Pre	2.95209044248383	1.13121937257212	91	75	0.0111441994270517	0.0856246647788576
Micrococcus	Timepoint	OR	2.95603462230817	1.11340477856551	91	75	0.00988725161225999	0.0856246647788576
Dietzia	Timepoint	OR	1.96553850767863	0.824062001518479	91	38	0.0198550050284262	0.10385694937946
Acinetobacter	Timepoint	Post	1.71328420754625	0.747910913653935	91	83	0.0250936917954136	0.113758069472542
Kocuria	Timepoint	Post	2.04273319768458	0.887763536964426	91	42	0.0244732760287472	0.113758069472542
Micrococcus	Timepoint	Post	2.51459956222267	1.1134047785655	91	75	0.0271549014651529	0.1154083312269
Streptococcus	Timepoint	Pre	2.64845429421035	1.18810312257791	91	57	0.0290899574564556	0.116359829825822
Bacillus	Timepoint	Pre	1.37030212531383	0.710788523335497	91	46	0.0580513879245613	0.219305243270565
Bacillus	Timepoint	Post	1.30223869718349	0.698838355659419	91	46	0.0667266418592242	0.237598148182854
Cutibacterium	Timepoint	Post	1.23350872828497	0.679673363007638	91	86	0.0739483255608435	0.237598148182854
Dietzia	Timepoint	Pre	1.50379423849249	0.837210610391738	91	38	0.0768699891179823	0.237598148182854
Methylobacterium.Methylorubrum	Timepoint	OR	1.36587790879548	0.759868310882204	91	21	0.0766758754763982	0.237598148182854
Acinetobacter	Timepoint	Pre	1.26898994039706	0.760403686813652	91	83	0.0997514799510165	0.271324025466765
Bacillus	Timepoint	CV1	1.35424414853334	0.801771202368894	91	46	0.0957742414186041	0.271324025466765
Brachybacterium	Timepoint	Post	1.11540886622257	0.658146974878808	91	29	0.0946565365352678	0.271324025466765
Dietzia	Timepoint	Post	1.209776608671	0.824062001518479	91	38	0.146683514423134	0.383633806952812
Pseudomonas	Timepoint	CV1	-1.30522696457266	0.936217373399656	91	40	0.167748579323551	0.407389406928625
Staphylococcus	Timepoint	CV1	0.83391616971892	0.594698326860676	91	89	0.16531061095296	0.407389406928625
Anaerococcus	Timepoint	OR	1.17320128976128	0.87039228805027	91	72	0.182181977719498	0.417121221797644
Dietzia	Timepoint	CV1	1.26249000798086	0.94091316068696	91	38	0.184024068440137	0.417121221797644
Cutibacterium	Timepoint	CV1	0.991960043213634	0.776260276508667	91	86	0.205541821794895	0.448042912316728
Escherichia.Shigella	Timepoint	CV1	-1.70620441768128	1.38446326081479	91	44	0.221960363180623	0.448042912316728
Finegoldia	Timepoint	Post	1.11685722015649	0.91028212244952	91	52	0.224021456158364	0.448042912316728
Streptococcus	Timepoint	OR	1.46520979916333	1.17063314254476	91	57	0.214996805592136	0.448042912316728
Anaerococcus	Timepoint	CV1	0.947197140063863	0.997167603443564	91	72	0.345512903421225	0.629622140871101
Cutibacterium	Timepoint	Pre	0.650867301886856	0.690560197140687	91	86	0.349240496964129	0.629622140871101
Cutibacterium	Timepoint	OR	0.659265332135512	0.679673363007638	91	86	0.335490748074416	0.629622140871101
Kocuria	Timepoint	CV1	0.948088756061203	1.01153976072767	91	42	0.35184766695738	0.629622140871101
Methylobacterium.Methylorubrum	Timepoint	Pre	0.652898104509889	0.772258608128012	91	21	0.400807617482639	0.69884405099537
Staphylococcus	Timepoint	Pre	-0.429032273971213	0.52921597324324	91	89	0.420371190608092	0.714631024033756
Finegoldia	Timepoint	Pre	0.629570445667894	0.924584606268468	91	52	0.49818929491893	0.826265172060665
Corynebacterium	Timepoint	OR	0.415114747148743	0.812048619425709	91	85	0.610865391904341	0.887099155565069
Escherichia.Shigella	Timepoint	Pre	-0.658580168708058	1.23831508197698	91	44	0.596604482128794	0.887099155565069
Kocuria	Timepoint	OR	0.469252851615984	0.887763536964426	91	42	0.598823795013706	0.887099155565069
Methylobacterium.Methylorubrum	Timepoint	Post	0.445130075531229	0.759868310882203	91	21	0.559942448957162	0.887099155565069
Staphylococcus	Timepoint	OR	-0.264602208262351	0.520922202642127	91	89	0.613142063405268	0.887099155565069
Streptococcus	Timepoint	CV1	-0.736543821185877	1.33080689782898	91	57	0.581702685224832	0.887099155565069
Acinetobacter	Timepoint	CV1	0.381235703105448	0.856713694899192	91	83	0.657724428427625	0.897711774943863
Finegoldia	Timepoint	OR	-0.38546096745587	0.910282122449521	91	52	0.673283831207897	0.897711774943863
Methylobacterium.Methylorubrum	Timepoint	CV1	0.402679596473819	0.868927666939703	91	21	0.644512381895463	0.897711774943863
Streptococcus	Timepoint	Post	-0.50466511056112	1.17063314254476	91	57	0.66775817874439	0.897711774943863
Brachybacterium	Timepoint	CV1	0.286312927242913	0.753567944020702	91	29	0.705148378709681	0.922117110620352
Micrococcus	Timepoint	CV1	0.446795261972599	1.27153051638033	91	75	0.726371805825834	0.931948732002957
Corynebacterium	Timepoint	Pre	-0.115031035262985	0.824465973518623	91	85	0.88944601840958	0.97499179133064
Corynebacterium	Timepoint	CV1	0.171450285797073	0.9249688363177	91	85	0.853481988501751	0.97499179133064
Escherichia.Shigella	Timepoint	Post	0.126699261314757	1.22056668372828	91	44	0.917639333017073	0.97499179133064
Paracoccus	Timepoint	CV1	0.117213595086746	0.942955256363143	91	51	0.901437766417778	0.97499179133064
Peptoniphilus	Timepoint	Pre	0.156859082873755	0.938232715485318	91	40	0.867714796615337	0.97499179133064
Peptoniphilus	Timepoint	OR	-0.106929041172338	0.924154912490666	91	40	0.908226328169274	0.97499179133064
Peptoniphilus	Timepoint	Post	0.119776156158812	0.924154912490666	91	40	0.897259210714269	0.97499179133064
Pseudomonas	Timepoint	Pre	-0.219114924802724	0.831524081014056	91	40	0.792951609155399	0.97499179133064
Pseudomonas	Timepoint	OR	-0.205169934316329	0.818045042557007	91	40	0.80272094205666	0.97499179133064
Pseudomonas	Timepoint	Post	-0.0943397129854313	0.818045042557007	91	40	0.908528647392418	0.97499179133064
Staphylococcus	Timepoint	Post	-0.11704286475653	0.520922202642127	91	89	0.82290286305148	0.97499179133064
Escherichia.Shigella	Timepoint	OR	-0.100315192422301	1.22056668372828	91	44	0.934745943065699	0.977888063514885
Corynebacterium	Timepoint	Post	0.00864513853324226	0.812048619425709	91	85	0.991536884807671	0.991536884807671
Finegoldia	Timepoint	CV1	-0.0400360864310965	1.03823768227841	91	52	0.96934869527463	0.991536884807671
Peptoniphilus	Timepoint	CV1	-0.0184348264849264	1.05179448017219	91	40	0.98606566397488	0.991536884807671
