feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter	Timepoint	OR	2.18463638999591	0.632868163465457	134	127	0.000809549885127827	0.0440147833544917
Bacillus	Timepoint	Pre	2.04478614867391	0.614658371502648	134	79	0.0012226328709581	0.0440147833544917
Staphylococcus	Timepoint	OR	-1.98113320180601	0.595206663376407	134	118	0.00122196457376743	0.0440147833544917
Acinetobacter	Timepoint	Post	1.87625822259501	0.632868163465457	134	127	0.00376775805086475	0.0508647336866741
Bacillus	Timepoint	OR	1.93888705817345	0.607606929212278	134	79	0.00188495531087125	0.0508647336866741
Bacillus	Timepoint	Post	1.83799605542736	0.607606929212278	134	79	0.00314714409062038	0.0508647336866741
Brevundimonas	Timepoint	OR	2.25618847318914	0.76019967529265	134	27	0.00373183460459621	0.0508647336866741
Streptococcus	Timepoint	Pre	3.208989828049	1.05264320510808	134	64	0.00291804470797151	0.0508647336866741
Dietzia	Timepoint	Pre	1.87897904985813	0.651574495627525	134	31	0.00478177430786699	0.0573812916944038
Acinetobacter	Timepoint	Pre	1.7365494971522	0.639756149773744	134	127	0.00778636576694302	0.0840927502829847
Pseudomonas	Timepoint	Post	2.3768207256978	0.887139813640296	134	69	0.00860290839264413	0.0844649187641423
Anaerococcus	Timepoint	CV1	3.06657114540245	1.16849597586036	134	76	0.00998334343294415	0.0898500908964973
Paracoccus	Timepoint	CV1	2.38745363680692	0.938867220089249	134	36	0.0124313106631399	0.102863482904789
Pseudomonas	Timepoint	OR	2.2343350736699	0.887139813640296	134	69	0.0133341551913616	0.102863482904789
Brevundimonas	Timepoint	Pre	1.90040355738971	0.768075388279513	134	27	0.014983503152438	0.105431315967985
Brevundimonas	Timepoint	Post	1.86906506487954	0.76019967529265	134	27	0.0156194542174792	0.105431315967985
Pseudomonas	Timepoint	Pre	2.16179441436947	0.897147483795458	134	69	0.0177541966478868	0.112791366939516
Lawsonella	Timepoint	Pre	1.48379690801187	0.64358580919414	134	21	0.0231464216666894	0.12711532253441
Staphylococcus	Timepoint	Pre	-1.38280431275133	0.601358571617233	134	118	0.0235398745434093	0.12711532253441
Veillonella	Timepoint	Pre	1.20657945135744	0.523394509864724	134	16	0.0231395615195053	0.12711532253441
Afipia	Timepoint	OR	0.689292475715521	0.312498124759094	134	43	0.0296456832866586	0.152463514045673
Afipia	Timepoint	Post	0.664834967595203	0.312498124759094	134	43	0.0357900500808582	0.161055225363862
Anaerococcus	Timepoint	Pre	2.24416281553161	1.05419705771008	134	76	0.0356703818460427	0.161055225363862
Haemophilus	Timepoint	Pre	0.805747630051311	0.37626102353936	134	15	0.0345734007165094	0.161055225363862
