feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerococcus	Timepoint	Pre	4.50780061947466	1.29493880543998	91	63	0.000875532076592659	0.071140584447515
Bacillus	Timepoint	Pre	2.48933193218276	0.757897544855654	91	50	0.00161683146471625	0.071140584447515
Acinetobacter	Timepoint	OR	2.19455480750806	0.806854632185519	91	85	0.00827315103518699	0.121339548516076
Acinetobacter	Timepoint	Post	2.22831762059018	0.806854632185519	91	85	0.00737802428373456	0.121339548516076
Bacillus	Timepoint	Post	2.07441887419719	0.745218813919795	91	50	0.00695730381535573	0.121339548516076
Brevundimonas	Timepoint	OR	2.19987930418543	0.769687220327713	91	14	0.0056339581124821	0.121339548516076
Acinetobacter	Timepoint	Pre	1.93472073368423	0.819939142518558	91	85	0.0211459281744093	0.132917262810573
Afipia	Timepoint	Post	1.00106041200384	0.42344057572293	91	29	0.0209341981867406	0.132917262810573
Anaerococcus	Timepoint	OR	3.13647471632317	1.2747364217517	91	63	0.0164261260130302	0.132917262810573
Anaerococcus	Timepoint	CV1	3.6617133852749	1.4551050671154	91	63	0.0141677012111799	0.132917262810573
Bacillus	Timepoint	OR	1.95264686032675	0.745218813919795	91	50	0.0108329632919982	0.132917262810573
Dietzia	Timepoint	Pre	1.6130871835333	0.683730202358647	91	19	0.0210582408903599	0.132917262810573
Micrococcus	Timepoint	Pre	2.90660752029869	1.20576976218634	91	53	0.0186388905481573	0.132917262810573
Streptococcus	Timepoint	Pre	2.86665448751891	1.200049821006	91	38	0.0196245676429497	0.132917262810573
Staphylococcus	Timepoint	Pre	-1.26968563514808	0.564315690613691	91	86	0.0277054844709756	0.162538842229724
Methylobacterium.Methylorubrum	Timepoint	Post	1.68796929163051	0.765792848638816	91	21	0.0308751860179904	0.169813523098947
Afipia	Timepoint	OR	0.919216154650652	0.42344057572293	91	29	0.0334363486553282	0.173082275392287
Anaerococcus	Timepoint	Post	2.66302904937841	1.2747364217517	91	63	0.040454102601128	0.197775612716626
Methylobacterium.Methylorubrum	Timepoint	OR	1.52962517324316	0.765792848638816	91	21	0.0497542436623308	0.23044070748869
Brevundimonas	Timepoint	Post	1.5147335846588	0.769687220327713	91	14	0.0531024254793308	0.233650672109056
Paracoccus	Timepoint	CV1	1.7438114995321	0.941588823614099	91	16	0.0681078237073259	0.285404213630699
Staphylococcus	Timepoint	Post	-1.01059586299461	0.555326608098998	91	86	0.0732262778200352	0.292905111280141
Afipia	Timepoint	Pre	0.711418477728823	0.43068163662792	91	29	0.103169198346144	0.375041994696461
Brevundimonas	Timepoint	Pre	1.27737027411747	0.781100814616837	91	14	0.106509389649581	0.375041994696461
Staphylococcus	Timepoint	OR	-0.908394397172395	0.555326608098998	91	86	0.106546021220585	0.375041994696461
Micrococcus	Timepoint	OR	1.78522628737332	1.18859117929523	91	53	0.137784131816375	0.464683951109271
Pseudomonas	Timepoint	Post	1.39438849518604	0.939971984198606	91	45	0.142573484999435	0.464683951109271
Micrococcus	Timepoint	CV1	1.95452224819149	1.3478516307617	91	53	0.151466328472324	0.476037032341588
Micrococcus	Timepoint	Post	1.57132903781326	1.18859117929523	91	53	0.190641841028766	0.561244470681321
uncultured	Timepoint	CV1	1.66214398928345	1.25985801357621	91	29	0.191333342277723	0.561244470681321
Pseudomonas	Timepoint	OR	1.211128453925	0.939971984198606	91	45	0.201943025966578	0.573257622098672
Escherichia.Shigella	Timepoint	Pre	1.35482288971027	1.10144755563057	91	66	0.222956811285211	0.594551496760563
Kocuria	Timepoint	OR	-0.781873220102297	0.630769746433548	91	17	0.219355181397433	0.594551496760563
Peptoniphilus	Timepoint	Post	0.94398279462923	0.790641351696177	91	22	0.236613298874243	0.612410891203924
Methylobacterium.Methylorubrum	Timepoint	Pre	0.882011050185787	0.778050944881195	91	21	0.260891917553447	0.655956821277238
Lawsonella	Timepoint	Pre	0.882546155651183	0.808096106049676	91	16	0.278593698819388	0.681006819336281
Paracoccus	Timepoint	Post	0.855410652706545	0.831824719490523	91	16	0.3073719300249	0.72599485127046
Streptococcus	Timepoint	OR	1.20146143592882	1.18330527465466	91	38	0.313497776684971	0.72599485127046
Afipia	Timepoint	CV1	-0.406068469355424	0.485793958490019	91	29	0.406131369329505	0.74364393417044
Brachybacterium	Timepoint	Pre	0.630146583033737	0.669002002914101	91	14	0.349393334187352	0.74364393417044
Brachybacterium	Timepoint	Post	0.605762950200852	0.659122638482497	91	14	0.36117027845941	0.74364393417044
Corynebacterium	Timepoint	Post	-1.00400439247189	1.14567089301013	91	77	0.383904914364422	0.74364393417044
Cutibacterium	Timepoint	Post	-0.808270897699501	0.934209319044786	91	82	0.389991777738191	0.74364393417044
Escherichia.Shigella	Timepoint	CV1	-1.15739568979031	1.23180705527034	91	66	0.350662037589519	0.74364393417044
Finegoldia	Timepoint	CV1	-1.15989547284147	1.40105699859425	91	30	0.410532592763554	0.74364393417044
Kocuria	Timepoint	Pre	0.571096406952767	0.640477961205299	91	17	0.375659042773484	0.74364393417044
Paracoccus	Timepoint	OR	0.683512405444995	0.831824719490523	91	16	0.414074463344904	0.74364393417044
Peptoniphilus	Timepoint	OR	0.684944985714152	0.790641351696177	91	22	0.389338273306401	0.74364393417044
Streptococcus	Timepoint	Post	1.12311687545175	1.18330527465466	91	38	0.345872344776106	0.74364393417044
Finegoldia	Timepoint	Post	-0.987047810914575	1.2281000957585	91	30	0.424321600752284	0.74680601732402
Peptoniphilus	Timepoint	Pre	0.62664916568372	0.802925825490311	91	22	0.437791475124455	0.755404898253961
Brachybacterium	Timepoint	CV1	0.549181904848942	0.749512144693956	91	14	0.466062817180064	0.759509776145289
Corynebacterium	Timepoint	CV1	0.974222515589409	1.29650278306135	91	77	0.454849322701203	0.759509776145289
Lawsonella	Timepoint	Post	-0.594272548817443	0.797126447787999	91	16	0.458530656773121	0.759509776145289
Bacillus	Timepoint	CV1	0.513074464695143	0.854713319662703	91	50	0.550301948301584	0.817654025924673
Dietzia	Timepoint	CV1	0.448555563301695	0.761242174498771	91	19	0.557491381312277	0.817654025924673
Methylobacterium.Methylorubrum	Timepoint	CV1	0.563342034448385	0.874577299722838	91	21	0.52159901749922	0.817654025924673
Pseudomonas	Timepoint	CV1	0.64678172478163	1.07680636069664	91	45	0.550048683428974	0.817654025924673
Streptomyces	Timepoint	CV1	0.686728045291531	1.15445818139584	91	29	0.553825440591949	0.817654025924673
uncultured	Timepoint	Post	0.683566196248697	1.10552335609884	91	29	0.538413511916008	0.817654025924673
Cutibacterium	Timepoint	OR	-0.511068667855402	0.934209319044786	91	82	0.586138073261453	0.836913529019837
Escherichia.Shigella	Timepoint	OR	0.588350254165968	1.08558089425072	91	66	0.589643622718522	0.836913529019837
Dietzia	Timepoint	Post	0.342499175967581	0.674595190443759	91	19	0.613240112194012	0.844333440375287
Escherichia.Shigella	Timepoint	Post	0.550021807242023	1.08558089425072	91	66	0.6140606839093	0.844333440375287
Brachybacterium	Timepoint	OR	0.318119051389873	0.659122638482497	91	14	0.630829402599699	0.85404596044267
Corynebacterium	Timepoint	OR	-0.508646915561148	1.14567089301013	91	77	0.658461568791316	0.877948758388422
Acinetobacter	Timepoint	CV1	-0.348838484349481	0.9223961345527	91	85	0.706443308779085	0.884619348724
Corynebacterium	Timepoint	Pre	0.420146622161997	1.16157544607097	91	77	0.718675426591926	0.884619348724
Cutibacterium	Timepoint	Pre	-0.312736373390959	0.948594712409618	91	82	0.742650847965702	0.884619348724
Cutibacterium	Timepoint	CV1	-0.399477646652825	1.06401085541028	91	82	0.708468141842475	0.884619348724
Dietzia	Timepoint	OR	0.284588148269194	0.674595190443759	91	19	0.674406423546625	0.884619348724
Finegoldia	Timepoint	Pre	0.409193429610331	1.24746028096074	91	30	0.743884452336091	0.884619348724
Staphylococcus	Timepoint	CV1	0.217804935044861	0.634707303705976	91	86	0.732527066105525	0.884619348724
Streptomyces	Timepoint	OR	-0.379150854316968	1.01671545984006	91	29	0.710358796603446	0.884619348724
Streptomyces	Timepoint	Post	0.294743007394675	1.01671545984006	91	29	0.772768590421471	0.906715146094525
Pseudomonas	Timepoint	Pre	0.246265977059914	0.955695224798331	91	45	0.797427293425322	0.923336866071426
Brevundimonas	Timepoint	CV1	-0.199466369472662	0.87427310855576	91	14	0.820180708405125	0.937349381034428
Paracoccus	Timepoint	Pre	-0.168150471043743	0.843582438127387	91	16	0.842585783973716	0.950609602431885
Finegoldia	Timepoint	OR	0.143260612910672	1.2281000957585	91	30	0.90747479539008	0.95345871124873
Kocuria	Timepoint	CV1	-0.084878319045928	0.718609585586883	91	17	0.906311553148971	0.95345871124873
Lawsonella	Timepoint	CV1	-0.102054959247351	0.900853839620244	91	16	0.910119678919242	0.95345871124873
Streptococcus	Timepoint	CV1	0.198635356019349	1.34011981340388	91	38	0.882581423813783	0.95345871124873
Streptomyces	Timepoint	Pre	0.137889805985187	1.03171798666301	91	29	0.894066656463152	0.95345871124873
uncultured	Timepoint	OR	-0.148326985748014	1.10552335609884	91	29	0.893661947881756	0.95345871124873
uncultured	Timepoint	Pre	0.0778116933119872	1.12268665164873	91	29	0.944944575974539	0.978295561008935
Kocuria	Timepoint	Post	0.00402949029789642	0.630769746433548	91	17	0.994921481201093	0.994921481201093
Lawsonella	Timepoint	OR	0.0111580394915994	0.797126447787999	91	16	0.988872750628277	0.994921481201093
Peptoniphilus	Timepoint	CV1	-0.0217645330739895	0.901250923932576	91	22	0.980801828477532	0.994921481201093
