feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerococcus	Timepoint	Pre	4.50780061947466	1.29493880543998	91	63	0.000875532076592659	0.071140584447515
Bacillus	Timepoint	Pre	2.48933193218276	0.757897544855654	91	50	0.00161683146471625	0.071140584447515
Acinetobacter	Timepoint	OR	2.19455480750806	0.806854632185519	91	85	0.00827315103518699	0.121339548516076
Acinetobacter	Timepoint	Post	2.22831762059018	0.806854632185519	91	85	0.00737802428373456	0.121339548516076
Bacillus	Timepoint	Post	2.07441887419719	0.745218813919795	91	50	0.00695730381535573	0.121339548516076
Brevundimonas	Timepoint	OR	2.19987930418543	0.769687220327713	91	14	0.0056339581124821	0.121339548516076
Acinetobacter	Timepoint	Pre	1.93472073368423	0.819939142518558	91	85	0.0211459281744093	0.132917262810573
Afipia	Timepoint	Post	1.00106041200384	0.42344057572293	91	29	0.0209341981867406	0.132917262810573
Anaerococcus	Timepoint	OR	3.13647471632317	1.2747364217517	91	63	0.0164261260130302	0.132917262810573
Anaerococcus	Timepoint	CV1	3.6617133852749	1.4551050671154	91	63	0.0141677012111799	0.132917262810573
Bacillus	Timepoint	OR	1.95264686032675	0.745218813919795	91	50	0.0108329632919982	0.132917262810573
Dietzia	Timepoint	Pre	1.6130871835333	0.683730202358647	91	19	0.0210582408903599	0.132917262810573
Micrococcus	Timepoint	Pre	2.90660752029869	1.20576976218634	91	53	0.0186388905481573	0.132917262810573
Streptococcus	Timepoint	Pre	2.86665448751891	1.200049821006	91	38	0.0196245676429497	0.132917262810573
Staphylococcus	Timepoint	Pre	-1.26968563514808	0.564315690613691	91	86	0.0277054844709756	0.162538842229724
Methylobacterium.Methylorubrum	Timepoint	Post	1.68796929163051	0.765792848638816	91	21	0.0308751860179904	0.169813523098947
Afipia	Timepoint	OR	0.919216154650652	0.42344057572293	91	29	0.0334363486553282	0.173082275392287
Anaerococcus	Timepoint	Post	2.66302904937841	1.2747364217517	91	63	0.040454102601128	0.197775612716626
Methylobacterium.Methylorubrum	Timepoint	OR	1.52962517324316	0.765792848638816	91	21	0.0497542436623308	0.23044070748869
Brevundimonas	Timepoint	Post	1.5147335846588	0.769687220327713	91	14	0.0531024254793308	0.233650672109056
