feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus.hominis	Timepoint	Pre	-2.44410236991857	0.625893289543637	134	43	0.000172640773049074	0.00209908902916532
Staphylococcus.hominis	Timepoint	Post	-2.41644505395434	0.619281375848417	134	43	0.000174924085763777	0.00209908902916532
OtherTaxa_NotStaph	Timepoint	OR	0.715775555791082	0.242035225498453	134	134	0.00388767563181621	0.0244213614880025
Staphylococcus.hominis	Timepoint	OR	-1.82185494470406	0.619281375848417	134	43	0.00407022691466708	0.0244213614880025
Staphylococcus.epidermidis	Timepoint	OR	-1.87705845938554	0.752773870851445	134	109	0.0142690797924552	0.068491583003785
CoNS.Staphylococcus.spp.	Timepoint	OR	-1.83460310250353	0.821056727142179	134	36	0.0276530004314335	0.0948102871934863
OtherTaxa_NotStaph	Timepoint	Pre	0.552802407920926	0.244691374939916	134	134	0.0260758207846416	0.0948102871934863
Staphylococcus.lugdunensis	Timepoint	CV1	-0.74753344438856	0.390500265968176	134	27	0.0583605649645541	0.175081694893662
Staphylococcus.epidermidis	Timepoint	CV1	1.28193872959628	0.838493458356412	134	109	0.12928912003429	0.344770986758107
CoNS.Staphylococcus.spp.	Timepoint	Pre	-1.19236742806305	0.829797844603197	134	36	0.153807112732828	0.3468861229217
CoNS.Staphylococcus.spp.	Timepoint	Post	-1.04034642160033	0.821056727142179	134	36	0.208033673522182	0.3468861229217
OtherTaxa_NotStaph	Timepoint	Post	0.31820575838602	0.242035225498453	134	134	0.191671477129013	0.3468861229217
Staphylococcus.caprae.or.S..capitis	Timepoint	OR	-0.664769932338972	0.496230025173083	134	20	0.183300253347744	0.3468861229217
Staphylococcus.epidermidis	Timepoint	Post	-0.906614983002647	0.752773870851445	134	109	0.231257415281134	0.3468861229217
Staphylococcus.hominis	Timepoint	CV1	-0.844189854077514	0.693560190960195	134	43	0.226374948519607	0.3468861229217
Staphylococcus.lugdunensis	Timepoint	Pre	-0.452920855500651	0.351056092912328	134	27	0.199901603214113	0.3468861229217
Staphylococcus.epidermidis	Timepoint	Pre	-0.816372976874529	0.760103530169574	134	109	0.285347112886442	0.402842982898507
Staphylococcus.lugdunensis	Timepoint	OR	-0.287915480339943	0.34706794070905	134	27	0.408718827351499	0.544958436468665
CoNS.Staphylococcus.spp.	Timepoint	CV1	-0.589295758520939	0.919369209732234	134	36	0.522949447422339	0.660567723059796
OtherTaxa_NotStaph	Timepoint	CV1	-0.151638349880496	0.271551359491589	134	134	0.577807284523984	0.693368741428781
Staphylococcus.caprae.or.S..capitis	Timepoint	Pre	-0.170761251782384	0.501173038193041	134	20	0.733999748408087	0.75999473793955
Staphylococcus.caprae.or.S..capitis	Timepoint	Post	0.171603903379368	0.496230025173083	134	20	0.730184449542572	0.75999473793955
Staphylococcus.caprae.or.S..capitis	Timepoint	CV1	-0.169537887044636	0.553558345388315	134	20	0.75999473793955	0.75999473793955
Staphylococcus.lugdunensis	Timepoint	Post	0.118076925558914	0.34706794070905	134	27	0.73439486350096	0.75999473793955
