feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter	Timepoint	Post	4.17542382792707	0.713618194008581	139	131	4.91580337384713e-08	2.54172913573897e-06
Bacillus	Timepoint	OR	3.70051091503345	0.630992804110877	139	79	5.08345827147795e-08	2.54172913573897e-06
Acinetobacter	Timepoint	OR	3.80492515177443	0.713618194008581	139	131	5.08951714339534e-07	1.69650571446511e-05
Bacillus	Timepoint	Post	3.22806835587895	0.630992804110877	139	79	1.38284596649525e-06	3.45711491623813e-05
Finegoldia	Timepoint	OR	-3.45831599267087	0.789766537219956	139	78	2.82827092883385e-05	0.00056565418576677
Finegoldia	Timepoint	Post	-3.34901115786143	0.789766537219956	139	78	4.81170264219913e-05	0.000801950440366521
Brachybacterium	Timepoint	OR	-2.37736533520343	0.580751184937	139	45	8.28284540042868e-05	0.00118326362863267
Streptomyces	Timepoint	OR	2.97169032729782	0.745810212681909	139	47	0.000112310962829398	0.00140388703536748
Brachybacterium	Timepoint	Post	-2.24501369560182	0.580751184937	139	45	0.000190697326446532	0.00210079853898482
Micrococcus	Timepoint	OR	-3.09222906771293	0.80391187620175	139	104	0.000210079853898482	0.00210079853898482
Afipia	Timepoint	OR	1.88118829190432	0.505162205102256	139	41	0.000314940302562337	0.0028630936596576
Bacillus	Timepoint	Pre	2.3400442208769	0.638008349510874	139	79	0.000382983742822301	0.00319153119018584
Kocuria	Timepoint	Post	-2.36539108511535	0.676370324110193	139	54	0.000685722389482479	0.00527478761140368
Paracoccus	Timepoint	Post	-3.19683198769163	0.924656636176174	139	60	0.000781296788145266	0.00558069134389476
Corynebacterium	Timepoint	Post	-2.04917546318298	0.597758467327561	139	133	0.000860135784629622	0.00573423856419748
Streptomyces	Timepoint	Post	2.52288196968942	0.745810212681909	139	47	0.000949961683246513	0.00593726052029071
Dietzia	Timepoint	Post	-1.93057231874945	0.571996864561678	139	55	0.00103149558747575	0.00606762110279855
Staphylococcus	Timepoint	OR	-2.44167288512089	0.744139956757817	139	128	0.00132438840915167	0.00735771338417595
Streptococcus	Timepoint	OR	-2.70640119270629	0.832791206427855	139	110	0.00153700767990309	0.00808951410475311
Kocuria	Timepoint	OR	-2.14198463871635	0.676370324110193	139	54	0.00200749403364913	0.0100374701682456
Dietzia	Timepoint	OR	-1.79012296034447	0.571996864561678	139	55	0.00226091199529107	0.0107662475966242
Afipia	Timepoint	Post	1.52889638991943	0.505162205102256	139	41	0.00309921751250727	0.0134748587500316
Pseudomonas	Timepoint	Post	2.98822325021795	0.986106594751443	139	71	0.00304197511863514	0.0134748587500316
Paracoccus	Timepoint	OR	-2.7428420066713	0.924656636176174	139	60	0.00371023065317972	0.0154592943882489
Cutibacterium	Timepoint	OR	-2.30411242549304	0.801366738499346	139	116	0.00488217885986981	0.0195287154394792
Acinetobacter	Timepoint	Pre	2.03130228863267	0.719855598218766	139	131	0.00564417981440465	0.0217083839015563
Brevibacterium	Timepoint	OR	-1.7826480947611	0.664825946141618	139	46	0.00844501809888682	0.0312778448106919
Brevibacterium	Timepoint	Post	-1.77229309418976	0.664825946141618	139	46	0.00882125805802519	0.0315044930643757
Rothia	Timepoint	OR	-2.147755956575	0.855039591334355	139	49	0.0132052326640812	0.0455352850485557
Escherichia.Shigella	Timepoint	OR	2.29780828872568	0.976403021763951	139	74	0.0204420399296216	0.0681401330987387
Anaerococcus	Timepoint	Post	-2.25533656436903	0.984180074540313	139	97	0.0238851153295732	0.0746409854049162
Peptoniphilus	Timepoint	OR	-2.44361127366637	1.06475520828019	139	57	0.0236632320446923	0.0746409854049162
Anaerococcus	Timepoint	OR	-2.19880700974783	0.984180074540313	139	97	0.0275499644563588	0.0834847407768449
Finegoldia	Timepoint	Pre	-1.76453625372699	0.797214365046712	139	78	0.0290189268069047	0.0853497847261903
Peptoniphilus	Timepoint	Post	-2.24286464219824	1.06475520828019	139	57	0.0374776623846841	0.107079035384812
Raoultella	Timepoint	OR	1.7842159139482	0.855091131656375	139	42	0.0388516949094671	0.10792137474852
Corynebacterium	Timepoint	OR	-1.20121621012308	0.597758467327561	139	133	0.0469641759022558	0.126930205141232
Escherichia.Shigella	Timepoint	Post	1.92602478447925	0.976403021763951	139	74	0.0511379670314093	0.134573597451077
Lawsonella	Timepoint	OR	-1.66429271693353	0.853405024080704	139	51	0.0537008857091241	0.137694578741344
Lawsonella	Timepoint	Post	-1.59748249084077	0.853405024080704	139	51	0.0638793457305682	0.159698364326421
Afipia	Timepoint	Pre	0.914005596771172	0.510760622332503	139	41	0.0763605705769405	0.181810882326049
Rothia	Timepoint	Pre	-1.54392129313795	0.862250516292422	139	49	0.0756368204696981	0.181810882326049
Lawsonella	Timepoint	Pre	-1.5278963315107	0.861122453061521	139	51	0.0787639638007569	0.183172008838969
Peptoniphilus	Timepoint	Pre	-1.86178552035863	1.07468137976228	139	57	0.0860350719583985	0.195534254450906
Pseudomonas	Timepoint	CV1	1.86031697355811	1.09333221247801	139	71	0.0915618739776379	0.203470831061418
Micrococcus	Timepoint	Post	-1.30472162170724	0.80391187620175	139	104	0.107717276457488	0.234167992298886
Escherichia.Shigella	Timepoint	CV1	-1.59791301671012	1.08449909856518	139	74	0.143490526295084	0.298938596448093
Streptococcus	Timepoint	Pre	-1.24617139610227	0.841298234641903	139	110	0.141419485021595	0.298938596448093
