feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacillus	Timepoint	OR	5.16533594732589	1.15079299106804	43	28	9.85918553178976e-05	0.00985918553178976
Acinetobacter	Timepoint	OR	3.45919360617048	0.967409657939542	43	43	0.00122512363267367	0.0245024726534735
Bacillus	Timepoint	Post	4.13781677303641	1.15079299106804	43	28	0.0011462647358544	0.0245024726534735
Raoultella	Timepoint	OR	5.63907912199444	1.54091253929005	43	17	0.000783152477912704	0.0245024726534735
Streptomyces	Timepoint	Post	5.09101737424208	1.36554652904969	43	18	0.000658662072914565	0.0245024726534735
Streptococcus	Timepoint	OR	-3.616236003938	1.14890059043534	43	35	0.00376150404204864	0.0626917340341439
Bacillus	Timepoint	Pre	3.25832945720861	1.15079299106804	43	28	0.00820384555301598	0.1025480694127
Mycoplasma	Timepoint	OR	4.09605259965389	1.45170831300616	43	13	0.00764266623040154	0.1025480694127
Acinetobacter	Timepoint	Post	2.6846866252941	0.967409657939542	43	43	0.009472871089827	0.1052541232203
Afipia	Timepoint	OR	1.48462463257921	0.548836538514846	43	14	0.0111479038097552	0.106681354834398
Cutibacterium	Timepoint	Post	-3.89498981985347	1.44868554421044	43	37	0.0117349490317838	0.106681354834398
Brachybacterium	Timepoint	OR	-2.36414459057765	0.907468160027273	43	18	0.0141344710213993	0.107793675293358
Paracoccus	Timepoint	OR	-3.88035777103445	1.50486013926984	43	24	0.0150911145410702	0.107793675293358
Streptococcus	Timepoint	Post	-2.99958314099523	1.14890059043534	43	35	0.0140830950551916	0.107793675293358
Streptomyces	Timepoint	OR	3.44201208322521	1.36554652904969	43	18	0.0162709099983462	0.108472733322308
Finegoldia	Timepoint	OR	-2.20224638152826	0.876810925237528	43	21	0.0175757384539295	0.10984836533706
Acinetobacter	Timepoint	Pre	2.25758096282716	0.967409657939542	43	43	0.0266142990137938	0.12530200441799
Escherichia.Shigella	Timepoint	OR	3.91712767351951	1.68634509423318	43	24	0.0273174624219674	0.12530200441799
Finegoldia	Timepoint	Post	-2.06166608531787	0.876810925237528	43	21	0.0254047519431889	0.12530200441799
Kocuria	Timepoint	OR	-2.14849890906745	0.927677901749523	43	18	0.0275664409719579	0.12530200441799
Methylobacterium.Methylorubrum	Timepoint	OR	-2.99855496880585	1.2714168936299	43	17	0.0251654594306105	0.12530200441799
Micrococcus	Timepoint	OR	-3.93126487214413	1.63548795557003	43	35	0.0227188577070261	0.12530200441799
Anaerococcus	Timepoint	OR	-3.94777911844038	1.72366548207091	43	27	0.0292096434360285	0.126998449721863
Cutibacterium	Timepoint	OR	-3.23136482754734	1.44868554421044	43	37	0.0335617940198469	0.139840808416029
Kocuria	Timepoint	Post	-2.01217559480043	0.927677901749523	43	18	0.0381224447737764	0.152489779095106
Staphylococcus	Timepoint	Post	-1.96693464924141	0.965214974730915	43	35	0.0485736872675608	0.186821874106003
Methylobacterium.Methylorubrum	Timepoint	Pre	-2.54944176414132	1.2714168936299	43	17	0.054170206994937	0.200630396277545
Streptomyces	Timepoint	Pre	2.68792991367072	1.36554652904969	43	18	0.0567336068066167	0.202620024309345
Peptoniphilus	Timepoint	OR	-3.48029904668725	1.82263796477114	43	18	0.0657202073794403	0.226621404756691
Luteimonas	Timepoint	CV1	1.78821312447974	0.969335208469715	43	12	0.07479473404556	0.244472322627568
Staphylococcus	Timepoint	OR	-1.76203878269439	0.965214974730915	43	35	0.0757864200145461	0.244472322627568
Finegoldia	Timepoint	Pre	-1.59468580528584	0.876810925237528	43	21	0.0788559780974239	0.24642493155445
