feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter	Timepoint	Post	4.85785784057374	0.93944740434523	96	88	1.75241686851826e-06	0.000154212684429607
Pseudomonas	Timepoint	Post	5.18673748729349	1.11209208867569	96	44	1.29326342631984e-05	0.00056903590758073
Acinetobacter	Timepoint	OR	3.94882192194201	0.93944740434523	96	88	6.943702091597e-05	0.00203681928020179
Bacillus	Timepoint	OR	2.86131788468183	0.719131790949453	96	51	0.000161829173565005	0.00356024181843012
Bacillus	Timepoint	Post	2.72259659320579	0.719131790949453	96	51	0.00031206023265186	0.00549226009467273
Corynebacterium	Timepoint	Post	-2.39793633195873	0.685809004530168	96	92	0.000801367816070321	0.011753394635698
Brachybacterium	Timepoint	Post	-2.22186307347662	0.647573093975989	96	27	0.000991416228522283	0.0121124115088395
Finegoldia	Timepoint	OR	-3.48090485471669	1.02218679433213	96	57	0.00110112831898541	0.0121124115088395
Finegoldia	Timepoint	Post	-3.37386230450723	1.02218679433213	96	57	0.00152428922601601	0.0149041613210455
Streptomyces	Timepoint	OR	2.68951629090824	0.829847479069177	96	29	0.0018357425866674	0.0161545347626731
Afipia	Timepoint	OR	2.06352665704433	0.699477607197225	96	27	0.00426866910026017	0.0288956062171458
Brachybacterium	Timepoint	OR	-1.94365477015017	0.647573093975989	96	27	0.003672274730182	0.0288956062171458
Paracoccus	Timepoint	Post	-3.0537799229007	1.03421481627935	96	36	0.00422870075440968	0.0288956062171458
Escherichia.Shigella	Timepoint	Post	3.16294722346813	1.11766500493788	96	50	0.00602073687195131	0.035905599223917
Micrococcus	Timepoint	OR	-2.14188548925385	0.757013141645212	96	69	0.00612027259498585	0.035905599223917
Dietzia	Timepoint	Post	-1.68750764615023	0.64946189947908	96	33	0.0113443299513253	0.0623938147322889
Afipia	Timepoint	Post	1.77468479768165	0.699477607197225	96	27	0.0133149499400751	0.0650953108181449
Kocuria	Timepoint	Post	-1.93369898347513	0.76035504882198	96	36	0.0131046573145086	0.0650953108181449
Dietzia	Timepoint	OR	-1.62921952713647	0.64946189947908	96	33	0.0143629899306112	0.0665233217838833
Staphylococcus	Timepoint	OR	-1.86285728374686	0.765165689442172	96	93	0.0172328436814439	0.0758245121983531
Bacillus	Timepoint	Pre	1.7628244028465	0.730678431811201	96	51	0.0183530402645262	0.0769079782513478
Pseudomonas	Timepoint	CV1	2.93106063021815	1.2497579512516	96	44	0.021513376186788	0.086053504747152
Anaerococcus	Timepoint	Post	-2.35187037995845	1.02954780651655	96	70	0.0252582244507656	0.0966401631159729
Corynebacterium	Timepoint	OR	-1.51338995736405	0.685809004530169	96	92	0.030440825798807	0.111616361262292
Kocuria	Timepoint	OR	-1.55905908238077	0.76035504882198	96	36	0.043913803151075	0.154576587091784
Acinetobacter	Timepoint	Pre	1.9143752295365	0.951147669759179	96	88	0.0475723792615905	0.161014206731537
