feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Micrococcus	Timepoint	Pre	-5.36067528894052	1.26052186303436	43	20	0.000132475777253702	0.0153671901614295
Clostridium_sensu_stricto_1	Timepoint	CV1	2.05901021187932	0.613910034640816	43	5	0.00186313023642151	0.0720410358082983
Micrococcus	Timepoint	Post	-4.25190317706456	1.26052186303436	43	20	0.00172091693165834	0.0720410358082983
Staphylococcus	Timepoint	OR	-4.55277718863069	1.42292310330309	43	24	0.0029553959496205	0.0857064825389946
Corynebacterium	Timepoint	OR	-3.82742588755868	1.31366613313786	43	26	0.00606892377746969	0.140799031637297
Acinetobacter	Timepoint	OR	2.66428773767372	1.00950272879099	43	42	0.0131074845094252	0.200929708398693
Acinetobacter	Timepoint	Post	2.55625187912763	1.00950272879099	43	42	0.016867160154384	0.200929708398693
Anaerococcus	Timepoint	OR	-1.60393181308527	0.657535954734589	43	12	0.0207858319033131	0.200929708398693
Bacillus	Timepoint	Post	2.82293077854742	1.09622374098337	43	28	0.0152030534619458	0.200929708398693
Corynebacterium	Timepoint	Post	-3.44324114574246	1.31366613313786	43	26	0.0127027221988211	0.200929708398693
Micrococcus	Timepoint	OR	-3.0730905341341	1.26052186303436	43	20	0.0195582585082751	0.200929708398693
Staphylococcus	Timepoint	Post	-3.5191686663513	1.42292310330309	43	24	0.0184858027203477	0.200929708398693
Acinetobacter	Timepoint	Pre	2.35199788873219	1.00950272879099	43	42	0.0268073510207986	0.222118051315189
Afipia	Timepoint	Pre	0.901811040230028	0.382623443001615	43	14	0.0251538813712927	0.222118051315189
Afipia	Timepoint	OR	0.87326164031064	0.382623443001615	43	14	0.0297358253543077	0.229680481821337
Pseudomonas	Timepoint	OR	3.49696589451699	1.55145459022937	43	26	0.0316800664581155	0.229680481821337
Bacillus	Timepoint	OR	2.39418922855378	1.09622374098337	43	28	0.0369253761080992	0.251961389914089
Staphylococcus	Timepoint	Pre	-2.97791882205916	1.42292310330309	43	24	0.0438150129692513	0.282363416912953
Afipia	Timepoint	Post	0.747421340785865	0.382623443001615	43	14	0.0601574831103016	0.334079072626272
Amaricoccus	Timepoint	Pre	-1.45292457751635	0.799477602206224	43	5	0.0775357717203828	0.334079072626272
Amaricoccus	Timepoint	OR	-1.45292457751635	0.799477602206224	43	5	0.0775357717203326	0.334079072626272
Amaricoccus	Timepoint	Post	-1.45292457751635	0.799477602206224	43	5	0.0775357717201737	0.334079072626272
Bacillus	Timepoint	Pre	1.98210611116646	1.09622374098337	43	28	0.0806397761511691	0.334079072626272
Brevibacterium	Timepoint	Post	-0.934413107310134	0.517831302123135	43	5	0.0793021529545846	0.334079072626272
Brevundimonas	Timepoint	Post	-2.39709703464385	1.25484844313362	43	11	0.0656246750684539	0.334079072626272
Escherichia.Shigella	Timepoint	Post	3.44800531093498	1.91917263492706	43	34	0.0805653558306945	0.334079072626272
Finegoldia	Timepoint	Post	-1.8019749006123	0.992972199277506	43	11	0.0776795137233877	0.334079072626272
Paracoccus	Timepoint	OR	-2.39967594294966	1.33366276554648	43	10	0.080478305891801	0.334079072626272
Actinomyces	Timepoint	Pre	1.03367022147077	0.587130010008786	43	5	0.0866734404950686	0.335137303247599
Brevundimonas	Timepoint	CV1	2.38454937450551	1.34754593206567	43	11	0.0865235456123241	0.335137303247599
Streptomyces	Timepoint	OR	3.51312723595514	2.00620799032624	43	22	0.0899957378886337	0.336758245002629
Corynebacterium	Timepoint	Pre	-2.1393474308375	1.31366613313786	43	26	0.112018788710231	0.383354166050583
Finegoldia	Timepoint	CV1	1.72743814706677	1.06236260569637	43	11	0.112362427980343	0.383354166050583
Luteimonas	Timepoint	Pre	1.42671241106772	0.865719505219385	43	5	0.109649660190295	0.383354166050583
Brevibacterium	Timepoint	Pre	-0.823301996199023	0.517831302123135	43	5	0.120366182552958	0.398927919318376
Granulicatella	Timepoint	OR	-1.12199954695642	0.714097288938184	43	5	0.124817364270137	0.402189284870442
Anaerococcus	Timepoint	Pre	-0.955545720054952	0.657535954734589	43	12	0.15645087887565	0.477586893409879
Streptomyces	Timepoint	Pre	2.93309852999506	2.00620799032624	43	22	0.153985562096342	0.477586893409879
Granulicatella	Timepoint	CV1	-1.08351475126828	0.764842074520631	43	5	0.165106047662669	0.491084654586399
Dietzia	Timepoint	Post	-1.27394108813883	0.921033633563755	43	10	0.176685515374455	0.507507052751706
Methylophilus	Timepoint	OR	1.09461104447262	0.799210925656928	43	5	0.179377492782931	0.507507052751706
Pseudomonas	Timepoint	CV1	2.22392457424871	1.68051957111773	43	26	0.195654731743405	0.52781276470314
Streptomyces	Timepoint	Post	2.6732465139717	2.00620799032624	43	22	0.192589086490803	0.52781276470314
Puia	Timepoint	Post	1.14387514429498	0.899279204985457	43	6	0.213307092124397	0.562355061055229
Anaerococcus	Timepoint	Post	-0.755790524734882	0.657535954734589	43	12	0.2593799880198	0.567699596420695
Brachybacterium	Timepoint	Post	-1.02561751570849	0.847712068875387	43	9	0.235695053139186	0.567699596420695
Brevibacterium	Timepoint	OR	-0.600884511910903	0.517831302123135	43	5	0.253324364556108	0.567699596420695
Brevibacterium	Timepoint	CV1	-0.681233043957457	0.553606816598869	43	5	0.226233062867721	0.567699596420695
Brevundimonas	Timepoint	Pre	-1.47275730063131	1.25484844313362	43	11	0.249697019963161	0.567699596420695
Escherichia.Shigella	Timepoint	Pre	2.21461679098988	1.91917263492706	43	34	0.25592280534856	0.567699596420695
Finegoldia	Timepoint	Pre	-1.20615870858085	0.992972199277506	43	11	0.232177706891995	0.567699596420695
Streptococcus	Timepoint	OR	2.35427474053805	2.04578159921727	43	24	0.257199777900019	0.567699596420695
Streptococcus	Timepoint	Post	-2.54949804949949	2.04578159921727	43	24	0.220515877035597	0.567699596420695
Cutibacterium	Timepoint	Post	-2.22499438111507	1.96575912358978	43	30	0.266712671182293	0.572938330687889
Brevundimonas	Timepoint	OR	-1.39108050997268	1.25484844313362	43	11	0.276359117741577	0.573385519447503
Methylophilus	Timepoint	Post	0.873498320459526	0.799210925656928	43	5	0.281749781107825	0.573385519447503
Methylophilus	Timepoint	CV1	0.94545668076174	0.856784682365615	43	5	0.277203121047115	0.573385519447503
Haemophilus	Timepoint	Post	-0.850833408846672	0.804237823408009	43	7	0.29694227590435	0.584383253782321
Kocuria	Timepoint	OR	-0.63852396271152	0.606017648266693	43	10	0.299783557232741	0.584383253782321
uncultured	Timepoint	CV1	-1.59408750368147	1.5187665115039	43	16	0.302267200232235	0.584383253782321
Amaricoccus	Timepoint	CV1	0.885173342835443	0.857138648301588	43	5	0.308658265116102	0.585767699375616
Cutibacterium	Timepoint	Pre	-2.01714554822981	1.96575912358978	43	30	0.313082735873174	0.585767699375616
Finegoldia	Timepoint	OR	-1.00383240553593	0.992972199277506	43	11	0.318612247929613	0.586651123171986
Paracoccus	Timepoint	Post	-1.31225563475647	1.33366276554648	43	10	0.331802554196717	0.601392129481549
Brachybacterium	Timepoint	CV1	0.880816665947748	0.912516468292885	43	9	0.341842355963171	0.610057127565043
Escherichia.Shigella	Timepoint	OR	1.79527947195406	1.91917263492706	43	34	0.355624838013448	0.625037594084243
Methylobacterium.Methylorubrum	Timepoint	Post	-0.689711830958856	0.752469863214349	43	10	0.366714748944707	0.63490911757591
Granulicatella	Timepoint	Pre	-0.633038280829058	0.714097288938184	43	5	0.381195530361033	0.647594750073135
Methylobacterium.Methylorubrum	Timepoint	Pre	-0.651462760884105	0.752469863214349	43	10	0.393537733331088	0.647594750073135
Streptomyces	Timepoint	CV1	-1.87737434570713	2.15137940529519	43	22	0.389428221314103	0.647594750073135
uncultured	Timepoint	OR	-1.20941073557832	1.40525392791906	43	16	0.39637264875166	0.647594750073135
Actinomyces	Timepoint	CV1	0.526737307186609	0.628630879955587	43	5	0.407499687161578	0.65652727376032
Streptococcus	Timepoint	Pre	-1.67191401118361	2.04578159921727	43	24	0.41901735822083	0.665835802104332
Kocuria	Timepoint	Pre	-0.489167533525433	0.606017648266693	43	10	0.425402241383566	0.666846756763428
Granulicatella	Timepoint	Post	-0.476059169972958	0.714097288938184	43	5	0.509209224973923	0.787576934626334
Brachybacterium	Timepoint	OR	-0.535521175070241	0.847712068875387	43	9	0.532308968826068	0.792542700153571
Luteimonas	Timepoint	CV1	-0.58941071409975	0.932169755724941	43	5	0.531787742735988	0.792542700153571
uncultured	Timepoint	Post	0.886665997282335	1.40525392791906	43	16	0.532916643206711	0.792542700153571
Pseudomonas	Timepoint	Pre	0.947819409210005	1.55145459022937	43	26	0.545864477772987	0.801522524324892
Escherichia.Shigella	Timepoint	CV1	-1.1492492361636	2.0545642078432	43	34	0.579263855956153	0.819446430376997
Luteimonas	Timepoint	OR	0.486037917253768	0.865719505219385	43	5	0.578622354494441	0.819446430376997
Paracoccus	Timepoint	Pre	-0.754334328708406	1.33366276554648	43	10	0.575217648506683	0.819446430376997
Kocuria	Timepoint	CV1	0.352512746380047	0.64956145565248	43	10	0.591015098506627	0.825997005141792
Corynebacterium	Timepoint	CV1	-0.739289549630281	1.40781734853288	43	26	0.602663648237722	0.828306005379019
Micrococcus	Timepoint	CV1	0.699033613397462	1.3475545542893	43	20	0.606948366010488	0.828306005379019
Actinomyces	Timepoint	OR	-0.202478593444094	0.587130010008786	43	5	0.732173231392549	0.841470186917221
Actinomyces	Timepoint	Post	-0.202478593444094	0.587130010008786	43	5	0.732173231392681	0.841470186917221
Clostridium_sensu_stricto_1	Timepoint	OR	0.227806283641891	0.572956448111844	43	5	0.69324228783495	0.841470186917221
Cutibacterium	Timepoint	OR	-0.845674076545505	1.96575912358978	43	30	0.670143645171288	0.841470186917221
Dietzia	Timepoint	OR	-0.411567234717917	0.921033633563755	43	10	0.658146866660938	0.841470186917221
Dietzia	Timepoint	CV1	0.453445548946357	0.987701048020918	43	10	0.649305777886556	0.841470186917221
Haemophilus	Timepoint	OR	0.334684933203659	0.804237823408009	43	7	0.67970309480558	0.841470186917221
Haemophilus	Timepoint	CV1	-0.311314859856258	0.860562656653249	43	7	0.719590317299406	0.841470186917221
Kocuria	Timepoint	Post	-0.298474278567578	0.606017648266693	43	10	0.625649488774737	0.841470186917221
Luteimonas	Timepoint	Post	-0.415528423361056	0.865719505219385	43	5	0.634676847961667	0.841470186917221
Methylobacterium.Methylorubrum	Timepoint	OR	-0.330012839978056	0.752469863214349	43	10	0.664135349043743	0.841470186917221
Paracoccus	Timepoint	CV1	0.575741911716826	1.42971638099017	43	10	0.68958486095242	0.841470186917221
Pseudomonas	Timepoint	Post	-0.553553401359953	1.55145459022937	43	26	0.723748574337993	0.841470186917221
Puia	Timepoint	Pre	0.31010803698303	0.899279204985457	43	6	0.732659386884821	0.841470186917221
Puia	Timepoint	OR	0.326319473231958	0.899279204985457	43	6	0.719289347516903	0.841470186917221
uncultured	Timepoint	Pre	-0.636181622037919	1.40525392791906	43	16	0.654061321738928	0.841470186917221
Staphylococcus	Timepoint	CV1	-0.416826200758138	1.52523737434479	43	24	0.786264196524545	0.894182811733797
Dietzia	Timepoint	Pre	-0.236067826560536	0.921033633563755	43	10	0.799439306669109	0.900339413336084
Acinetobacter	Timepoint	CV1	-0.239119740778788	1.08614673534854	43	42	0.827208031136457	0.922655111652202
Clostridium_sensu_stricto_1	Timepoint	Pre	0.111111111111118	0.572956448111844	43	5	0.847309072058472	0.93607478436936
Afipia	Timepoint	CV1	0.0589520043001687	0.415063646418484	43	14	0.888002508691403	0.956117295447703
Puia	Timepoint	CV1	-0.135539649510848	0.97327921247165	43	6	0.890178171623723	0.956117295447703
Streptococcus	Timepoint	CV1	0.335469743192923	2.19304781122427	43	24	0.879252631131463	0.956117295447703
Brachybacterium	Timepoint	Pre	0.0901868414042799	0.847712068875387	43	9	0.915976085693983	0.974800237986257
Cutibacterium	Timepoint	CV1	0.141281681175016	2.11173497845134	43	30	0.947089124013276	0.989750796266126
Methylobacterium.Methylorubrum	Timepoint	CV1	0.0604235904969759	0.815295768421959	43	10	0.941412445250205	0.989750796266126
Anaerococcus	Timepoint	CV1	0.0300622874254848	0.709384972880019	43	12	0.966469549733029	0.99212803335426
Haemophilus	Timepoint	Pre	0.0388792914574172	0.804237823408009	43	7	0.961702877754472	0.99212803335426
Bacillus	Timepoint	CV1	0.000353304744216125	1.18871130048759	43	28	0.999764817394272	0.999999999999991
Clostridium_sensu_stricto_1	Timepoint	Post	6.48041207767225e-15	0.572956448111844	43	5	0.999999999999991	0.999999999999991
Methylophilus	Timepoint	Pre	-6.82684630413451e-14	0.799210925656928	43	5	0.999999999999932	0.999999999999991
