feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus.epidermidis	Timepoint	OR	-4.3985304465221	0.825986290505013	139	72	5.20928903029092e-07	1.04185780605818e-05
Staphylococcus.epidermidis	Timepoint	Post	-2.92385648630986	0.825986290505014	139	72	0.000583003553190696	0.00491145592550983
Staphylococcus.hominis	Timepoint	OR	-1.96513268922841	0.565963199630287	139	46	0.000736718388826475	0.00491145592550983
Staphylococcus.caprae.or.S..capitis	Timepoint	Pre	-1.75288944545353	0.54345421811378	139	26	0.00166749243775342	0.00666996975101366
Staphylococcus.caprae.or.S..capitis	Timepoint	OR	-1.77078734973293	0.538130598764836	139	26	0.00135525823715906	0.00666996975101366
Staphylococcus.hominis	Timepoint	Pre	-1.62960738487078	0.570828237702947	139	46	0.0051345281724748	0.0146700804927851
Staphylococcus.hominis	Timepoint	Post	-1.62479354531041	0.565963199630287	139	46	0.00490368836885544	0.0146700804927851
Staphylococcus.caprae.or.S..capitis	Timepoint	Post	-1.48329115975877	0.538130598764836	139	26	0.00687515543011804	0.0171878885752951
OtherTaxa_NotStaph	Timepoint	OR	0.556007539422061	0.207101026462893	139	139	0.0081982533425838	0.0182183407612973
OtherTaxa_NotStaph	Timepoint	Post	0.524465170511069	0.207101026462893	139	139	0.0125093942787138	0.0250187885574276
Staphylococcus.epidermidis	Timepoint	Pre	-1.92575029678377	0.833067833931874	139	72	0.0226040657437718	0.0410983013523124
CoNS.Staphylococcus.spp.	Timepoint	Post	-1.37374239490924	0.712303375874161	139	29	0.0563523892389887	0.0939206487316478
OtherTaxa_NotStaph	Timepoint	Pre	0.286402164773055	0.20883989195902	139	139	0.172597776941982	0.265535041449203
Staphylococcus.caprae.or.S..capitis	Timepoint	CV1	-0.711383653897255	0.598284197954518	139	26	0.236981099401943	0.338544427717062
Staphylococcus.epidermidis	Timepoint	CV1	0.959797438378651	0.910184916274752	139	72	0.293812768661646	0.391750358215527
CoNS.Staphylococcus.spp.	Timepoint	Pre	-0.58966081986731	0.718321552890095	139	29	0.413469860805381	0.516837326006726
CoNS.Staphylococcus.spp.	Timepoint	OR	-0.249966031392711	0.712303375874161	139	29	0.726313131114827	0.823306994115324
OtherTaxa_NotStaph	Timepoint	CV1	-0.0755085778032391	0.227942420576258	139	139	0.740976294703792	0.823306994115324
CoNS.Staphylococcus.spp.	Timepoint	CV1	0.149961301032234	0.784130275342145	139	29	0.848668195782454	0.848668195782454
Staphylococcus.hominis	Timepoint	CV1	-0.142882682265098	0.62373236942703	139	46	0.819211947165178	0.848668195782454
