OTU,Genus,Species,BLAST_Species,CoNS/CoPS
0d3d89147976ee6bed0658005448d301,Staphylococcus,NA,Staphylococcus lugdunensis,CoNS
14a0d9a20794a6d2706ffc41e5c4daa6,Staphylococcus,NA,Staphylococcus warneri,CoNS
29960dc68815a7be669952ca15dea6fe,Staphylococcus,NA,Staphylococcus arueus,Positive
2ea67d0a7e276cdce8a01b1ecaf53454,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
3084c1f59ae7b0ad4ac8f5f58360cdb9,Staphylococcus,NA,CoNS Staphylococcus spp.,CoNS
33a15874f35dff862b1888b1bc3c7b76,Staphylococcus,NA,Staphylococcus lugdunensis,CoNS
343f1c56875e5fbd8dab0b4fdf2b96cb,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
34b5ba964f5f97ed7e8538988847f4cb,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
37c1bdf33a176bcb442ae47fa9bd29cb,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
40beb489e6c7c93c476ee66882168fd8,Staphylococcus,NA,Staphylococcus hominis,CoNS
4b9fadf29dd7ca77ad3754c1eeb4495a,Staphylococcus,NA,Staphylococcus hominis,CoNS
4babab8cb35eeb1c82359cf770979cc0,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
4cf05f5c49a6c596e4aa2b190cf26539,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
4e9905f6585aaad92507b8d58b2f6a4b,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
4ec4d1e851d0f9bddcbedd6e3d24d0fc,Staphylococcus,NA,Staphylococcus hominis,CoNS
51185e26ada4ac6c6adbe14856041e4a,Staphylococcus,NA,Staphylococcus haemolyticus,CoNS
54116571a7f2c6cd2c66ba5a21fa28ba,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
596080af1fb2df0b9c4f622b3a76a6ca,Staphylococcus,NA,Staphylococcus caprae or S. capitis,CoNS
70ed12ac2a1af805efc225bc1679d1f6,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
747bdad4b6221710f569298075a92bb1,Staphylococcus,NA,Staphylococcus hominis,CoNS
7c7354973090a257d8ff735ecf580a27,Staphylococcus,NA,CoNS Staphylococcus spp.,CoNS
82db307741f7751494012c9920d4e4e2,Staphylococcus,NA,Staphylococcus epidermidis,CoNS
861d4046f8920db2b49e8ed35f56223f,Staphylococcus,NA,CoNS Staphylococcus spp.,CoNS
897b295112e858405a5847cccbaff6b7,Staphylococcus,NA,Staphylococcus caprae or S. capitis,CoNS
8a5ab7666f00e1b688e85e41e800e4d4,Staphylococcus,NA,CoNS Staphylococcus spp.,CoNS
8adeff885cca9727175106958ba86622,Staphylococcus,NA,CoNS Staphylococcus spp.,CoNS
8ca800ff9b7fda6fa3585813a6536110,Staphylococcus,NA,Staphylococcus haemolyticus,CoNS
